year-month,ing_id,ing_name,days_below_threshold
2023-12,ing005,"Sun-Dried Tomatoes",7
2024-01,ing005,"Sun-Dried Tomatoes",5
2024-03,ing005,"Sun-Dried Tomatoes",4
2024-04,ing005,"Sun-Dried Tomatoes",5
2024-05,ing005,"Sun-Dried Tomatoes",5
2024-06,ing005,"Sun-Dried Tomatoes",4
2024-07,ing005,"Sun-Dried Tomatoes",3
2024-08,ing005,"Sun-Dried Tomatoes",4
2024-11,ing005,"Sun-Dried Tomatoes",4
2024-12,ing005,"Sun-Dried Tomatoes",5
2025-01,ing005,"Sun-Dried Tomatoes",3
2025-02,ing005,"Sun-Dried Tomatoes",1
2025-03,ing005,"Sun-Dried Tomatoes",3
2025-04,ing005,"Sun-Dried Tomatoes",1
2025-05,ing005,"Sun-Dried Tomatoes",5
2025-07,ing005,"Sun-Dried Tomatoes",5
2025-08,ing005,"Sun-Dried Tomatoes",2
2025-09,ing005,"Sun-Dried Tomatoes",2
2025-10,ing005,"Sun-Dried Tomatoes",4
2023-02,ing006,"Spicy Chicken",2
2023-03,ing006,"Spicy Chicken",10
2023-04,ing006,"Spicy Chicken",8
2023-05,ing006,"Spicy Chicken",6
2023-06,ing006,"Spicy Chicken",10
2023-07,ing006,"Spicy Chicken",9
2023-08,ing006,"Spicy Chicken",8
2023-09,ing006,"Spicy Chicken",8
2023-10,ing006,"Spicy Chicken",6
2023-11,ing006,"Spicy Chicken",8
2023-12,ing006,"Spicy Chicken",10
2024-01,ing006,"Spicy Chicken",12
2024-02,ing006,"Spicy Chicken",9
2024-03,ing006,"Spicy Chicken",9
2024-04,ing006,"Spicy Chicken",5
2024-05,ing006,"Spicy Chicken",8
2024-06,ing006,"Spicy Chicken",10
2024-07,ing006,"Spicy Chicken",8
2024-08,ing006,"Spicy Chicken",7
2024-09,ing006,"Spicy Chicken",8
2024-10,ing006,"Spicy Chicken",8
2024-11,ing006,"Spicy Chicken",10
2024-12,ing006,"Spicy Chicken",6
2025-01,ing006,"Spicy Chicken",10
2025-02,ing006,"Spicy Chicken",8
2025-03,ing006,"Spicy Chicken",8
2025-04,ing006,"Spicy Chicken",7
2025-05,ing006,"Spicy Chicken",8
2025-06,ing006,"Spicy Chicken",8
2025-07,ing006,"Spicy Chicken",10
2025-08,ing006,"Spicy Chicken",8
2025-09,ing006,"Spicy Chicken",7
2025-10,ing006,"Spicy Chicken",7
2023-02,ing007,Jalapenos,4
2023-03,ing007,Jalapenos,15
2023-04,ing007,Jalapenos,11
2023-05,ing007,Jalapenos,12
2023-06,ing007,Jalapenos,9
2023-07,ing007,Jalapenos,13
2023-08,ing007,Jalapenos,14
2023-09,ing007,Jalapenos,12
2023-10,ing007,Jalapenos,12
2023-11,ing007,Jalapenos,13
2023-12,ing007,Jalapenos,14
2024-01,ing007,Jalapenos,16
2024-02,ing007,Jalapenos,11
2024-03,ing007,Jalapenos,14
2024-04,ing007,Jalapenos,12
2024-05,ing007,Jalapenos,10
2024-06,ing007,Jalapenos,12
2024-07,ing007,Jalapenos,12
2024-08,ing007,Jalapenos,14
2024-09,ing007,Jalapenos,10
2024-10,ing007,Jalapenos,14
2024-11,ing007,Jalapenos,10
2024-12,ing007,Jalapenos,13
2025-01,ing007,Jalapenos,14
2025-02,ing007,Jalapenos,9
2025-03,ing007,Jalapenos,14
2025-04,ing007,Jalapenos,13
2025-05,ing007,Jalapenos,13
2025-06,ing007,Jalapenos,13
2025-07,ing007,Jalapenos,15
2025-08,ing007,Jalapenos,14
2025-09,ing007,Jalapenos,10
2025-10,ing007,Jalapenos,11
2023-02,ing008,"Smoked Gouda",3
2023-03,ing008,"Smoked Gouda",11
2023-04,ing008,"Smoked Gouda",9
2023-05,ing008,"Smoked Gouda",9
2023-06,ing008,"Smoked Gouda",11
2023-07,ing008,"Smoked Gouda",12
2023-08,ing008,"Smoked Gouda",9
2023-09,ing008,"Smoked Gouda",12
2023-10,ing008,"Smoked Gouda",9
2023-11,ing008,"Smoked Gouda",6
2023-12,ing008,"Smoked Gouda",14
2024-01,ing008,"Smoked Gouda",15
2024-02,ing008,"Smoked Gouda",11
2024-03,ing008,"Smoked Gouda",10
2024-04,ing008,"Smoked Gouda",8
2024-05,ing008,"Smoked Gouda",12
2024-06,ing008,"Smoked Gouda",9
2024-07,ing008,"Smoked Gouda",10
2024-08,ing008,"Smoked Gouda",9
2024-09,ing008,"Smoked Gouda",9
2024-10,ing008,"Smoked Gouda",12
2024-11,ing008,"Smoked Gouda",9
2024-12,ing008,"Smoked Gouda",11
2025-01,ing008,"Smoked Gouda",11
2025-02,ing008,"Smoked Gouda",11
2025-03,ing008,"Smoked Gouda",10
2025-04,ing008,"Smoked Gouda",9
2025-05,ing008,"Smoked Gouda",9
2025-06,ing008,"Smoked Gouda",9
2025-07,ing008,"Smoked Gouda",15
2025-08,ing008,"Smoked Gouda",9
2025-09,ing008,"Smoked Gouda",7
2025-10,ing008,"Smoked Gouda",9
2023-03,ing009,"Chipotle Sauce",3
2023-04,ing009,"Chipotle Sauce",3
2023-05,ing009,"Chipotle Sauce",5
2023-06,ing009,"Chipotle Sauce",3
2023-07,ing009,"Chipotle Sauce",2
2023-08,ing009,"Chipotle Sauce",5
2023-09,ing009,"Chipotle Sauce",4
2023-10,ing009,"Chipotle Sauce",3
2023-11,ing009,"Chipotle Sauce",3
2023-12,ing009,"Chipotle Sauce",6
2024-01,ing009,"Chipotle Sauce",6
2024-02,ing009,"Chipotle Sauce",3
2024-03,ing009,"Chipotle Sauce",3
2024-04,ing009,"Chipotle Sauce",3
2024-05,ing009,"Chipotle Sauce",6
2024-06,ing009,"Chipotle Sauce",5
2024-07,ing009,"Chipotle Sauce",4
2024-08,ing009,"Chipotle Sauce",3
2024-09,ing009,"Chipotle Sauce",5
2024-10,ing009,"Chipotle Sauce",4
2024-11,ing009,"Chipotle Sauce",3
2024-12,ing009,"Chipotle Sauce",3
2025-01,ing009,"Chipotle Sauce",3
2025-02,ing009,"Chipotle Sauce",6
2025-03,ing009,"Chipotle Sauce",2
2025-04,ing009,"Chipotle Sauce",3
2025-05,ing009,"Chipotle Sauce",3
2025-06,ing009,"Chipotle Sauce",3
2025-07,ing009,"Chipotle Sauce",3
2025-08,ing009,"Chipotle Sauce",6
2025-10,ing009,"Chipotle Sauce",3
2023-02,ing010,"Wild Mushrooms",9
2023-03,ing010,"Wild Mushrooms",23
2023-04,ing010,"Wild Mushrooms",26
2023-05,ing010,"Wild Mushrooms",24
2023-06,ing010,"Wild Mushrooms",21
2023-07,ing010,"Wild Mushrooms",24
2023-08,ing010,"Wild Mushrooms",18
2023-09,ing010,"Wild Mushrooms",23
2023-10,ing010,"Wild Mushrooms",22
2023-11,ing010,"Wild Mushrooms",16
2023-12,ing010,"Wild Mushrooms",21
2024-01,ing010,"Wild Mushrooms",19
2024-02,ing010,"Wild Mushrooms",18
2024-03,ing010,"Wild Mushrooms",22
2024-04,ing010,"Wild Mushrooms",21
2024-05,ing010,"Wild Mushrooms",26
2024-06,ing010,"Wild Mushrooms",27
2024-07,ing010,"Wild Mushrooms",16
2024-08,ing010,"Wild Mushrooms",21
2024-09,ing010,"Wild Mushrooms",20
2024-10,ing010,"Wild Mushrooms",17
2024-11,ing010,"Wild Mushrooms",14
2024-12,ing010,"Wild Mushrooms",17
2025-01,ing010,"Wild Mushrooms",21
2025-02,ing010,"Wild Mushrooms",22
2025-03,ing010,"Wild Mushrooms",26
2025-04,ing010,"Wild Mushrooms",22
2025-05,ing010,"Wild Mushrooms",25
2025-06,ing010,"Wild Mushrooms",24
2025-07,ing010,"Wild Mushrooms",22
2025-08,ing010,"Wild Mushrooms",17
2025-09,ing010,"Wild Mushrooms",17
2025-10,ing010,"Wild Mushrooms",20
2023-02,ing011,"Truffle Oil",10
2023-03,ing011,"Truffle Oil",22
2023-04,ing011,"Truffle Oil",22
2023-05,ing011,"Truffle Oil",22
2023-06,ing011,"Truffle Oil",22
2023-07,ing011,"Truffle Oil",24
2023-08,ing011,"Truffle Oil",21
2023-09,ing011,"Truffle Oil",22
2023-10,ing011,"Truffle Oil",19
2023-11,ing011,"Truffle Oil",20
2023-12,ing011,"Truffle Oil",21
2024-01,ing011,"Truffle Oil",23
2024-02,ing011,"Truffle Oil",18
2024-03,ing011,"Truffle Oil",23
2024-04,ing011,"Truffle Oil",20
2024-05,ing011,"Truffle Oil",25
2024-06,ing011,"Truffle Oil",19
2024-07,ing011,"Truffle Oil",21
2024-08,ing011,"Truffle Oil",20
2024-09,ing011,"Truffle Oil",18
2024-10,ing011,"Truffle Oil",20
2024-11,ing011,"Truffle Oil",18
2024-12,ing011,"Truffle Oil",21
2025-01,ing011,"Truffle Oil",21
2025-02,ing011,"Truffle Oil",20
2025-03,ing011,"Truffle Oil",24
2025-04,ing011,"Truffle Oil",20
2025-05,ing011,"Truffle Oil",18
2025-06,ing011,"Truffle Oil",19
2025-07,ing011,"Truffle Oil",23
2025-08,ing011,"Truffle Oil",22
2025-09,ing011,"Truffle Oil",22
2025-10,ing011,"Truffle Oil",20
2023-02,ing012,Mozzarella,2
2023-03,ing012,Mozzarella,7
2023-04,ing012,Mozzarella,6
2023-05,ing012,Mozzarella,6
2023-06,ing012,Mozzarella,9
2023-07,ing012,Mozzarella,8
2023-08,ing012,Mozzarella,7
2023-09,ing012,Mozzarella,8
2023-10,ing012,Mozzarella,6
2023-11,ing012,Mozzarella,7
2023-12,ing012,Mozzarella,7
2024-01,ing012,Mozzarella,8
2024-02,ing012,Mozzarella,6
2024-03,ing012,Mozzarella,9
2024-04,ing012,Mozzarella,6
2024-05,ing012,Mozzarella,6
2024-06,ing012,Mozzarella,6
2024-07,ing012,Mozzarella,6
2024-08,ing012,Mozzarella,7
2024-09,ing012,Mozzarella,5
2024-10,ing012,Mozzarella,7
2024-11,ing012,Mozzarella,7
2024-12,ing012,Mozzarella,7
2025-01,ing012,Mozzarella,6
2025-02,ing012,Mozzarella,6
2025-03,ing012,Mozzarella,9
2025-04,ing012,Mozzarella,6
2025-05,ing012,Mozzarella,8
2025-06,ing012,Mozzarella,7
2025-07,ing012,Mozzarella,6
2025-08,ing012,Mozzarella,6
2025-09,ing012,Mozzarella,9
2025-10,ing012,Mozzarella,6
2023-02,ing013,"Fresh Spinach",2
2023-03,ing013,"Fresh Spinach",5
2023-04,ing013,"Fresh Spinach",6
2023-05,ing013,"Fresh Spinach",3
2023-06,ing013,"Fresh Spinach",3
2023-07,ing013,"Fresh Spinach",5
2023-08,ing013,"Fresh Spinach",5
2023-09,ing013,"Fresh Spinach",3
2023-10,ing013,"Fresh Spinach",6
2023-11,ing013,"Fresh Spinach",3
2023-12,ing013,"Fresh Spinach",2
2024-01,ing013,"Fresh Spinach",4
2024-02,ing013,"Fresh Spinach",6
2024-03,ing013,"Fresh Spinach",6
2024-04,ing013,"Fresh Spinach",5
2024-05,ing013,"Fresh Spinach",5
2024-06,ing013,"Fresh Spinach",3
2024-07,ing013,"Fresh Spinach",3
2024-08,ing013,"Fresh Spinach",5
2024-09,ing013,"Fresh Spinach",6
2024-10,ing013,"Fresh Spinach",3
2024-11,ing013,"Fresh Spinach",4
2024-12,ing013,"Fresh Spinach",3
2025-01,ing013,"Fresh Spinach",3
2025-02,ing013,"Fresh Spinach",4
2025-03,ing013,"Fresh Spinach",4
2025-04,ing013,"Fresh Spinach",4
2025-05,ing013,"Fresh Spinach",3
2025-06,ing013,"Fresh Spinach",5
2025-07,ing013,"Fresh Spinach",5
2025-08,ing013,"Fresh Spinach",3
2025-09,ing013,"Fresh Spinach",5
2025-10,ing013,"Fresh Spinach",2
2023-02,ing014,"Italian Sausage",6
2023-03,ing014,"Italian Sausage",14
2023-04,ing014,"Italian Sausage",12
2023-05,ing014,"Italian Sausage",14
2023-06,ing014,"Italian Sausage",12
2023-07,ing014,"Italian Sausage",12
2023-08,ing014,"Italian Sausage",14
2023-09,ing014,"Italian Sausage",12
2023-10,ing014,"Italian Sausage",13
2023-11,ing014,"Italian Sausage",13
2023-12,ing014,"Italian Sausage",14
2024-01,ing014,"Italian Sausage",12
2024-02,ing014,"Italian Sausage",13
2024-03,ing014,"Italian Sausage",13
2024-04,ing014,"Italian Sausage",13
2024-05,ing014,"Italian Sausage",12
2024-06,ing014,"Italian Sausage",14
2024-07,ing014,"Italian Sausage",12
2024-08,ing014,"Italian Sausage",14
2024-09,ing014,"Italian Sausage",12
2024-10,ing014,"Italian Sausage",14
2024-11,ing014,"Italian Sausage",11
2024-12,ing014,"Italian Sausage",13
2025-01,ing014,"Italian Sausage",13
2025-02,ing014,"Italian Sausage",11
2025-03,ing014,"Italian Sausage",16
2025-04,ing014,"Italian Sausage",10
2025-05,ing014,"Italian Sausage",11
2025-06,ing014,"Italian Sausage",13
2025-07,ing014,"Italian Sausage",12
2025-08,ing014,"Italian Sausage",13
2025-09,ing014,"Italian Sausage",11
2025-10,ing014,"Italian Sausage",8
2023-03,ing015,"Roasted Garlic",6
2023-04,ing015,"Roasted Garlic",6
2023-06,ing015,"Roasted Garlic",6
2023-07,ing015,"Roasted Garlic",3
2023-08,ing015,"Roasted Garlic",3
2023-09,ing015,"Roasted Garlic",4
2023-10,ing015,"Roasted Garlic",4
2023-11,ing015,"Roasted Garlic",2
2023-12,ing015,"Roasted Garlic",7
2024-01,ing015,"Roasted Garlic",3
2024-02,ing015,"Roasted Garlic",4
2024-03,ing015,"Roasted Garlic",6
2024-04,ing015,"Roasted Garlic",5
2024-05,ing015,"Roasted Garlic",3
2024-06,ing015,"Roasted Garlic",3
2024-07,ing015,"Roasted Garlic",6
2024-08,ing015,"Roasted Garlic",6
2024-09,ing015,"Roasted Garlic",3
2024-10,ing015,"Roasted Garlic",3
2024-11,ing015,"Roasted Garlic",5
2024-12,ing015,"Roasted Garlic",3
2025-01,ing015,"Roasted Garlic",4
2025-02,ing015,"Roasted Garlic",5
2025-03,ing015,"Roasted Garlic",6
2025-04,ing015,"Roasted Garlic",3
2025-05,ing015,"Roasted Garlic",3
2025-06,ing015,"Roasted Garlic",6
2025-07,ing015,"Roasted Garlic",3
2025-08,ing015,"Roasted Garlic",6
2025-09,ing015,"Roasted Garlic",3
2025-10,ing015,"Roasted Garlic",3
2023-02,ing016,"Red Onion",4
2023-03,ing016,"Red Onion",14
2023-04,ing016,"Red Onion",14
2023-05,ing016,"Red Onion",13
2023-06,ing016,"Red Onion",14
2023-07,ing016,"Red Onion",16
2023-08,ing016,"Red Onion",13
2023-09,ing016,"Red Onion",12
2023-10,ing016,"Red Onion",14
2023-11,ing016,"Red Onion",13
2023-12,ing016,"Red Onion",14
2024-01,ing016,"Red Onion",15
2024-02,ing016,"Red Onion",13
2024-03,ing016,"Red Onion",17
2024-04,ing016,"Red Onion",12
2024-05,ing016,"Red Onion",13
2024-06,ing016,"Red Onion",14
2024-07,ing016,"Red Onion",16
2024-08,ing016,"Red Onion",16
2024-09,ing016,"Red Onion",11
2024-10,ing016,"Red Onion",14
2024-11,ing016,"Red Onion",15
2024-12,ing016,"Red Onion",14
2025-01,ing016,"Red Onion",13
2025-02,ing016,"Red Onion",13
2025-03,ing016,"Red Onion",15
2025-04,ing016,"Red Onion",11
2025-05,ing016,"Red Onion",13
2025-06,ing016,"Red Onion",14
2025-07,ing016,"Red Onion",14
2025-08,ing016,"Red Onion",15
2025-09,ing016,"Red Onion",12
2025-10,ing016,"Red Onion",11
2023-03,ing017,"Fresh Basil",3
2023-04,ing017,"Fresh Basil",2
2023-06,ing017,"Fresh Basil",2
2023-07,ing017,"Fresh Basil",2
2023-08,ing017,"Fresh Basil",3
2023-10,ing017,"Fresh Basil",3
2023-12,ing017,"Fresh Basil",2
2024-01,ing017,"Fresh Basil",3
2024-02,ing017,"Fresh Basil",2
2024-03,ing017,"Fresh Basil",5
2024-04,ing017,"Fresh Basil",2
2024-06,ing017,"Fresh Basil",2
2024-07,ing017,"Fresh Basil",2
2024-08,ing017,"Fresh Basil",2
2024-10,ing017,"Fresh Basil",3
2024-11,ing017,"Fresh Basil",3
2024-12,ing017,"Fresh Basil",2
2025-01,ing017,"Fresh Basil",2
2025-02,ing017,"Fresh Basil",3
2025-03,ing017,"Fresh Basil",2
2025-04,ing017,"Fresh Basil",3
2025-05,ing017,"Fresh Basil",3
2025-06,ing017,"Fresh Basil",2
2025-07,ing017,"Fresh Basil",1
2025-08,ing017,"Fresh Basil",3
2025-09,ing017,"Fresh Basil",3
2023-02,ing018,"Smoked Salmon",12
2023-03,ing018,"Smoked Salmon",31
2023-04,ing018,"Smoked Salmon",29
2023-05,ing018,"Smoked Salmon",31
2023-06,ing018,"Smoked Salmon",30
2023-07,ing018,"Smoked Salmon",30
2023-08,ing018,"Smoked Salmon",30
2023-09,ing018,"Smoked Salmon",29
2023-10,ing018,"Smoked Salmon",30
2023-11,ing018,"Smoked Salmon",28
2023-12,ing018,"Smoked Salmon",31
2024-01,ing018,"Smoked Salmon",31
2024-02,ing018,"Smoked Salmon",29
2024-03,ing018,"Smoked Salmon",30
2024-04,ing018,"Smoked Salmon",30
2024-05,ing018,"Smoked Salmon",30
2024-06,ing018,"Smoked Salmon",28
2024-07,ing018,"Smoked Salmon",30
2024-08,ing018,"Smoked Salmon",30
2024-09,ing018,"Smoked Salmon",30
2024-10,ing018,"Smoked Salmon",31
2024-11,ing018,"Smoked Salmon",27
2024-12,ing018,"Smoked Salmon",30
2025-01,ing018,"Smoked Salmon",31
2025-02,ing018,"Smoked Salmon",28
2025-03,ing018,"Smoked Salmon",31
2025-04,ing018,"Smoked Salmon",28
2025-05,ing018,"Smoked Salmon",30
2025-06,ing018,"Smoked Salmon",28
2025-07,ing018,"Smoked Salmon",30
2025-08,ing018,"Smoked Salmon",30
2025-09,ing018,"Smoked Salmon",27
2025-10,ing018,"Smoked Salmon",25
2023-02,ing019,"Dill Cream Cheese",6
2023-03,ing019,"Dill Cream Cheese",15
2023-04,ing019,"Dill Cream Cheese",10
2023-05,ing019,"Dill Cream Cheese",14
2023-06,ing019,"Dill Cream Cheese",12
2023-07,ing019,"Dill Cream Cheese",14
2023-08,ing019,"Dill Cream Cheese",13
2023-09,ing019,"Dill Cream Cheese",12
2023-10,ing019,"Dill Cream Cheese",11
2023-11,ing019,"Dill Cream Cheese",8
2023-12,ing019,"Dill Cream Cheese",12
2024-01,ing019,"Dill Cream Cheese",12
2024-02,ing019,"Dill Cream Cheese",9
2024-03,ing019,"Dill Cream Cheese",12
2024-04,ing019,"Dill Cream Cheese",15
2024-05,ing019,"Dill Cream Cheese",11
2024-06,ing019,"Dill Cream Cheese",12
2024-07,ing019,"Dill Cream Cheese",11
2024-08,ing019,"Dill Cream Cheese",10
2024-09,ing019,"Dill Cream Cheese",15
2024-10,ing019,"Dill Cream Cheese",14
2024-11,ing019,"Dill Cream Cheese",9
2024-12,ing019,"Dill Cream Cheese",10
2025-01,ing019,"Dill Cream Cheese",14
2025-02,ing019,"Dill Cream Cheese",11
2025-03,ing019,"Dill Cream Cheese",13
2025-04,ing019,"Dill Cream Cheese",8
2025-05,ing019,"Dill Cream Cheese",11
2025-06,ing019,"Dill Cream Cheese",11
2025-07,ing019,"Dill Cream Cheese",11
2025-08,ing019,"Dill Cream Cheese",12
2025-09,ing019,"Dill Cream Cheese",10
2025-10,ing019,"Dill Cream Cheese",10
2023-03,ing020,Capers,4
2023-05,ing020,Capers,3
2023-06,ing020,Capers,4
2023-07,ing020,Capers,3
2023-08,ing020,Capers,3
2023-09,ing020,Capers,2
2023-10,ing020,Capers,2
2023-11,ing020,Capers,1
2024-01,ing020,Capers,4
2024-03,ing020,Capers,4
2024-04,ing020,Capers,4
2024-05,ing020,Capers,3
2024-07,ing020,Capers,3
2024-09,ing020,Capers,4
2024-10,ing020,Capers,3
2025-01,ing020,Capers,3
2025-02,ing020,Capers,3
2025-03,ing020,Capers,3
2025-04,ing020,Capers,4
2025-07,ing020,Capers,3
2025-08,ing020,Capers,3
2025-10,ing020,Capers,4
2023-03,ing021,Arugula,5
2023-06,ing021,Arugula,5
2023-07,ing021,Arugula,6
2023-08,ing021,Arugula,2
2023-09,ing021,Arugula,2
2023-12,ing021,Arugula,5
2024-03,ing021,Arugula,5
2024-04,ing021,Arugula,5
2024-07,ing021,Arugula,5
2024-09,ing021,Arugula,5
2024-12,ing021,Arugula,5
2025-02,ing021,Arugula,5
2025-04,ing021,Arugula,5
2025-07,ing021,Arugula,6
2025-08,ing021,Arugula,5
2023-02,ing022,"BBQ Brisket",6
2023-03,ing022,"BBQ Brisket",19
2023-04,ing022,"BBQ Brisket",16
2023-05,ing022,"BBQ Brisket",17
2023-06,ing022,"BBQ Brisket",19
2023-07,ing022,"BBQ Brisket",12
2023-08,ing022,"BBQ Brisket",13
2023-09,ing022,"BBQ Brisket",15
2023-10,ing022,"BBQ Brisket",16
2023-11,ing022,"BBQ Brisket",18
2023-12,ing022,"BBQ Brisket",17
2024-01,ing022,"BBQ Brisket",17
2024-02,ing022,"BBQ Brisket",15
2024-03,ing022,"BBQ Brisket",20
2024-04,ing022,"BBQ Brisket",14
2024-05,ing022,"BBQ Brisket",14
2024-06,ing022,"BBQ Brisket",13
2024-07,ing022,"BBQ Brisket",14
2024-08,ing022,"BBQ Brisket",15
2024-09,ing022,"BBQ Brisket",15
2024-10,ing022,"BBQ Brisket",16
2024-11,ing022,"BBQ Brisket",13
2024-12,ing022,"BBQ Brisket",14
2025-01,ing022,"BBQ Brisket",18
2025-02,ing022,"BBQ Brisket",14
2025-03,ing022,"BBQ Brisket",16
2025-04,ing022,"BBQ Brisket",12
2025-05,ing022,"BBQ Brisket",15
2025-06,ing022,"BBQ Brisket",15
2025-07,ing022,"BBQ Brisket",14
2025-08,ing022,"BBQ Brisket",17
2025-09,ing022,"BBQ Brisket",15
2025-10,ing022,"BBQ Brisket",12
2023-02,ing023,"Cheddar Cheese",3
2023-03,ing023,"Cheddar Cheese",12
2023-04,ing023,"Cheddar Cheese",12
2023-05,ing023,"Cheddar Cheese",12
2023-06,ing023,"Cheddar Cheese",13
2023-07,ing023,"Cheddar Cheese",11
2023-08,ing023,"Cheddar Cheese",12
2023-09,ing023,"Cheddar Cheese",12
