snapshot_date,ing_id,consumed_packages,cumulative_consumption_flow
2023-07-29,ing001,9,169
2023-07-30,ing001,4,173
2023-07-31,ing001,4,177
2023-08-01,ing001,3,3
2023-08-02,ing001,6,9
2023-08-03,ing001,8,17
2023-08-04,ing001,7,24
2023-08-05,ing001,4,28
2023-08-06,ing001,7,35
2023-08-07,ing001,8,43
2023-08-08,ing001,4,47
2023-08-09,ing001,11,58
2023-08-10,ing001,6,64
2023-08-11,ing001,3,67
2023-08-12,ing001,7,74
2023-08-13,ing001,5,79
2023-08-14,ing001,4,83
2023-08-15,ing001,5,88
2023-08-16,ing001,5,93
2023-08-17,ing001,4,97
2023-08-18,ing001,6,103
2023-08-19,ing001,6,109
2023-08-20,ing001,5,114
2023-08-21,ing001,4,118
2023-08-22,ing001,6,124
2023-08-23,ing001,5,129
2023-08-24,ing001,5,134
2023-08-25,ing001,4,138
2023-08-26,ing001,3,141
2023-08-27,ing001,5,146
2023-08-28,ing001,6,152
2023-08-29,ing001,5,157
2023-08-30,ing001,12,169
2023-08-31,ing001,6,175
2023-09-01,ing001,4,4
2023-09-02,ing001,5,9
2023-09-03,ing001,5,14
2023-09-04,ing001,5,19
2023-09-05,ing001,6,25
2023-09-06,ing001,6,31
2023-09-07,ing001,10,41
2023-09-08,ing001,6,47
2023-09-09,ing001,4,51
2023-09-10,ing001,4,55
2023-09-11,ing001,5,60
2023-09-12,ing001,7,67
2023-09-13,ing001,6,73
2023-09-14,ing001,3,76
2023-09-15,ing001,6,82
2023-09-16,ing001,4,86
2023-09-17,ing001,6,92
2023-09-18,ing001,6,98
2023-09-19,ing001,4,102
2023-09-20,ing001,6,108
2023-09-21,ing001,5,113
2023-09-22,ing001,5,118
2023-09-23,ing001,3,121
2023-09-24,ing001,7,128
2023-09-25,ing001,4,132
2023-09-26,ing001,7,139
2023-09-27,ing001,5,144
2023-09-28,ing001,2,146
2023-09-29,ing001,6,152
2023-09-30,ing001,6,158
2023-10-01,ing001,6,6
2023-10-02,ing001,7,13
2023-10-03,ing001,4,17
2023-10-04,ing001,5,22
2023-10-05,ing001,7,29
2023-10-06,ing001,3,32
2023-10-07,ing001,8,40
2023-10-08,ing001,5,45
2023-10-09,ing001,4,49
2023-10-10,ing001,3,52
2023-10-11,ing001,8,60
2023-10-12,ing001,5,65
2023-10-13,ing001,5,70
2023-10-14,ing001,6,76
2023-10-15,ing001,4,80
2023-10-16,ing001,5,85
2023-10-17,ing001,7,92
2023-10-18,ing001,8,100
2023-10-19,ing001,5,105
2023-10-20,ing001,4,109
2023-10-21,ing001,4,113
2023-10-22,ing001,6,119
2023-10-23,ing001,6,125
2023-10-24,ing001,7,132
2023-10-25,ing001,5,137
2023-10-26,ing001,6,143
2023-10-27,ing001,7,150
2023-10-28,ing001,2,152
2023-10-29,ing001,4,156
2023-10-30,ing001,7,163
2023-10-31,ing001,3,166
2023-11-01,ing001,7,7
2023-11-02,ing001,4,11
2023-11-03,ing001,4,15
2023-11-04,ing001,7,22
2023-11-05,ing001,3,25
2023-11-06,ing001,5,30
2023-11-07,ing001,5,35
2023-11-08,ing001,4,39
2023-11-09,ing001,1,40
2023-11-10,ing001,5,45
2023-11-11,ing001,5,50
2023-11-12,ing001,7,57
2023-11-13,ing001,5,62
2023-11-14,ing001,5,67
2023-11-15,ing001,3,70
2023-11-16,ing001,6,76
2023-11-17,ing001,6,82
2023-11-18,ing001,5,87
2023-11-19,ing001,6,93
2023-11-20,ing001,5,98
2023-11-21,ing001,6,104
2023-11-22,ing001,5,109
2023-11-23,ing001,4,113
2023-11-24,ing001,5,118
2023-11-25,ing001,5,123
2023-11-26,ing001,3,126
2023-11-27,ing001,5,131
2023-11-28,ing001,4,135
2023-11-29,ing001,6,141
2023-11-30,ing001,6,147
2023-12-01,ing001,6,6
2023-12-02,ing001,5,11
2023-12-03,ing001,6,17
2023-12-04,ing001,11,28
2023-12-05,ing001,8,36
2023-12-06,ing001,6,42
2023-12-07,ing001,6,48
2023-12-08,ing001,6,54
2023-12-09,ing001,8,62
2023-12-10,ing001,4,66
2023-12-11,ing001,6,72
2023-12-12,ing001,7,79
2023-12-13,ing001,4,83
2023-12-14,ing001,5,88
2023-12-15,ing001,7,95
2023-12-16,ing001,8,103
2023-12-17,ing001,4,107
2023-12-18,ing001,7,114
2023-12-19,ing001,8,122
2023-12-20,ing001,5,127
2023-12-21,ing001,4,131
2023-12-22,ing001,7,138
2023-12-23,ing001,6,144
2023-12-24,ing001,6,150
2023-12-25,ing001,4,154
2023-12-26,ing001,11,165
2023-12-27,ing001,6,171
2023-12-28,ing001,4,175
2023-12-29,ing001,8,183
2023-12-30,ing001,5,188
2023-12-31,ing001,4,192
2024-01-01,ing001,6,6
2024-01-02,ing001,6,12
2024-01-03,ing001,6,18
2024-01-04,ing001,4,22
2024-01-05,ing001,4,26
2024-01-06,ing001,8,34
2024-01-07,ing001,8,42
2024-01-08,ing001,5,47
2024-01-09,ing001,5,52
2024-01-10,ing001,7,59
2024-01-11,ing001,4,63
2024-01-12,ing001,5,68
2024-01-13,ing001,6,74
2024-01-14,ing001,5,79
2024-01-15,ing001,2,81
2024-01-16,ing001,6,87
2024-01-17,ing001,9,96
2024-01-18,ing001,9,105
2024-01-19,ing001,9,114
2024-01-20,ing001,7,121
2024-01-21,ing001,9,130
2024-01-22,ing001,4,134
2024-01-23,ing001,4,138
2024-01-24,ing001,5,143
2024-01-25,ing001,10,153
2024-01-26,ing001,3,156
2024-01-27,ing001,5,161
2024-01-28,ing001,7,168
2024-01-29,ing001,6,174
2024-01-30,ing001,5,179
2024-01-31,ing001,4,183
2024-02-01,ing001,5,5
2024-02-02,ing001,9,14
2024-02-03,ing001,2,16
2024-02-04,ing001,5,21
2024-02-05,ing001,5,26
2024-02-06,ing001,7,33
2024-02-07,ing001,6,39
2024-02-08,ing001,6,45
2024-02-09,ing001,5,50
2024-02-10,ing001,7,57
2024-02-11,ing001,6,63
2024-02-12,ing001,2,65
2024-02-13,ing001,9,74
2024-02-14,ing001,8,82
2024-02-15,ing001,9,91
2024-02-16,ing001,5,96
2024-02-17,ing001,7,103
2024-02-18,ing001,8,111
2024-02-19,ing001,6,117
2024-02-20,ing001,4,121
2024-02-21,ing001,5,126
2024-02-22,ing001,4,130
2024-02-23,ing001,6,136
2024-02-24,ing001,3,139
2024-02-25,ing001,1,140
2024-02-26,ing001,5,145
2024-02-27,ing001,9,154
2024-02-28,ing001,4,158
2024-02-29,ing001,6,164
2024-03-01,ing001,3,3
2024-03-02,ing001,6,9
2024-03-03,ing001,6,15
2024-03-04,ing001,3,18
2024-03-05,ing001,8,26
2024-03-06,ing001,12,38
2024-03-07,ing001,5,43
2024-03-08,ing001,7,50
2024-03-09,ing001,5,55
2024-03-10,ing001,5,60
2024-03-11,ing001,6,66
2024-03-12,ing001,7,73
2024-03-13,ing001,7,80
2024-03-14,ing001,7,87
2024-03-15,ing001,5,92
2024-03-16,ing001,7,99
2024-03-17,ing001,3,102
2024-03-18,ing001,4,106
2024-03-19,ing001,3,109
2024-03-20,ing001,6,115
2024-03-21,ing001,10,125
2024-03-22,ing001,7,132
2024-03-23,ing001,7,139
2024-03-24,ing001,4,143
2024-03-25,ing001,6,149
2024-03-26,ing001,8,157
2024-03-27,ing001,4,161
2024-03-28,ing001,5,166
2024-03-29,ing001,6,172
2024-03-30,ing001,7,179
2024-03-31,ing001,6,185
2024-04-01,ing001,4,4
2024-04-02,ing001,4,8
2024-04-03,ing001,10,18
2024-04-04,ing001,5,23
2024-04-05,ing001,5,28
2024-04-06,ing001,5,33
2024-04-07,ing001,4,37
2024-04-08,ing001,2,39
2024-04-09,ing001,4,43
2024-04-10,ing001,8,51
2024-04-11,ing001,4,55
2024-04-12,ing001,7,62
2024-04-13,ing001,6,68
2024-04-14,ing001,5,73
2024-04-15,ing001,4,77
2024-04-16,ing001,3,80
2024-04-17,ing001,5,85
2024-04-18,ing001,5,90
2024-04-19,ing001,5,95
2024-04-20,ing001,6,101
2024-04-21,ing001,6,107
2024-04-22,ing001,6,113
2024-04-23,ing001,4,117
2024-04-24,ing001,7,124
2024-04-25,ing001,4,128
2024-04-26,ing001,9,137
2024-04-27,ing001,7,144
2024-04-28,ing001,6,150
2024-04-29,ing001,5,155
2024-04-30,ing001,6,161
2024-05-01,ing001,4,4
2024-05-02,ing001,4,8
2024-05-03,ing001,4,12
2024-05-04,ing001,5,17
2024-05-05,ing001,5,22
2024-05-06,ing001,7,29
2024-05-07,ing001,9,38
2024-05-08,ing001,4,42
2024-05-09,ing001,6,48
2024-05-10,ing001,6,54
2024-05-11,ing001,7,61
2024-05-12,ing001,3,64
2024-05-13,ing001,6,70
2024-05-14,ing001,6,76
2024-05-15,ing001,8,84
2024-05-16,ing001,9,93
2024-05-17,ing001,6,99
2024-05-18,ing001,5,104
2024-05-19,ing001,4,108
2024-05-20,ing001,4,112
2024-05-21,ing001,6,118
2024-05-22,ing001,3,121
2024-05-23,ing001,5,126
2024-05-24,ing001,6,132
2024-05-25,ing001,7,139
2024-05-26,ing001,6,145
2024-05-27,ing001,4,149
2024-05-28,ing001,7,156
2024-05-29,ing001,5,161
2024-05-30,ing001,6,167
2024-05-31,ing001,5,172
2024-06-01,ing001,4,4
2024-06-02,ing001,7,11
2024-06-03,ing001,5,16
2024-06-04,ing001,6,22
2024-06-05,ing001,4,26
2024-06-06,ing001,8,34
2024-06-07,ing001,5,39
2024-06-08,ing001,5,44
2024-06-09,ing001,7,51
2024-06-10,ing001,3,54
2024-06-11,ing001,7,61
2024-06-12,ing001,4,65
2024-06-13,ing001,5,70
2024-06-14,ing001,6,76
2024-06-15,ing001,6,82
2024-06-16,ing001,10,92
2024-06-17,ing001,7,99
2024-06-18,ing001,4,103
2024-06-19,ing001,5,108
2024-06-20,ing001,5,113
2024-06-21,ing001,5,118
2024-06-22,ing001,8,126
2024-06-23,ing001,9,135
2024-06-24,ing001,6,141
2024-06-25,ing001,4,145
2024-06-26,ing001,7,152
2024-06-27,ing001,5,157
2024-06-28,ing001,6,163
2024-06-29,ing001,6,169
2024-06-30,ing001,9,178
2024-07-01,ing001,3,3
2024-07-02,ing001,6,9
2024-07-03,ing001,4,13
2024-07-04,ing001,6,19
2024-07-05,ing001,5,24
2024-07-06,ing001,5,29
2024-07-07,ing001,6,35
2024-07-08,ing001,4,39
2024-07-09,ing001,5,44
2024-07-10,ing001,5,49
2024-07-11,ing001,6,55
2024-07-12,ing001,4,59
2024-07-13,ing001,6,65
2024-07-14,ing001,5,70
2024-07-15,ing001,3,73
2024-07-16,ing001,4,77
2024-07-17,ing001,7,84
2024-07-18,ing001,6,90
2024-07-19,ing001,6,96
2024-07-20,ing001,7,103
2024-07-21,ing001,4,107
2024-07-22,ing001,5,112
2024-07-23,ing001,5,117
2024-07-24,ing001,5,122
2024-07-25,ing001,6,128
2024-07-26,ing001,7,135
2024-07-27,ing001,5,140
2024-07-28,ing001,5,145
2024-07-29,ing001,8,153
2024-07-30,ing001,5,158
2024-07-31,ing001,6,164
2024-08-01,ing001,4,4
2024-08-02,ing001,8,12
2024-08-03,ing001,3,15
2024-08-04,ing001,9,24
2024-08-05,ing001,4,28
2024-08-06,ing001,4,32
2024-08-07,ing001,7,39
2024-08-08,ing001,6,45
2024-08-09,ing001,6,51
2024-08-10,ing001,4,55
2024-08-11,ing001,5,60
2024-08-12,ing001,4,64
2024-08-13,ing001,5,69
2024-08-14,ing001,3,72
2024-08-15,ing001,7,79
2024-08-16,ing001,4,83
2024-08-17,ing001,9,92
2024-08-18,ing001,6,98
2024-08-19,ing001,10,108
2024-08-20,ing001,8,116
2024-08-21,ing001,5,121
2024-08-22,ing001,7,128
2024-08-23,ing001,5,133
2024-08-24,ing001,6,139
2024-08-25,ing001,4,143
2024-08-26,ing001,8,151
2024-08-27,ing001,5,156
2024-08-28,ing001,6,162
2024-08-29,ing001,3,165
2024-08-30,ing001,7,172
2024-08-31,ing001,4,176
2024-09-01,ing001,7,7
2024-09-02,ing001,4,11
2024-09-03,ing001,3,14
2024-09-04,ing001,6,20
2024-09-05,ing001,5,25
2024-09-06,ing001,5,30
2024-09-07,ing001,5,35
2024-09-08,ing001,9,44
2024-09-09,ing001,7,51
2024-09-10,ing001,5,56
2024-09-11,ing001,6,62
2024-09-12,ing001,5,67
2024-09-13,ing001,5,72
2024-09-14,ing001,7,79
2024-09-15,ing001,6,85
2024-09-16,ing001,3,88
2024-09-17,ing001,4,92
2024-09-18,ing001,3,95
2024-09-19,ing001,5,100
2024-09-20,ing001,6,106
2024-09-21,ing001,3,109
2024-09-22,ing001,5,114
2024-09-23,ing001,9,123
2024-09-24,ing001,5,128
2024-09-25,ing001,5,133
2024-09-26,ing001,3,136
2024-09-27,ing001,4,140
2024-09-28,ing001,5,145
2024-09-29,ing001,7,152
2024-09-30,ing001,6,158
2024-10-01,ing001,6,6
2024-10-02,ing001,3,9
2024-10-03,ing001,5,14
2024-10-04,ing001,6,20
2024-10-05,ing001,4,24
2024-10-06,ing001,4,28
2024-10-07,ing001,4,32
2024-10-08,ing001,5,37
2024-10-09,ing001,7,44
2024-10-10,ing001,5,49
2024-10-11,ing001,3,52
2024-10-12,ing001,6,58
2024-10-13,ing001,5,63
2024-10-14,ing001,4,67
2024-10-15,ing001,6,73
2024-10-16,ing001,7,80
2024-10-17,ing001,6,86
2024-10-18,ing001,3,89
2024-10-19,ing001,6,95
2024-10-20,ing001,7,102
2024-10-21,ing001,4,106
2024-10-22,ing001,3,109
2024-10-23,ing001,6,115
2024-10-24,ing001,5,120
2024-10-25,ing001,5,125
2024-10-26,ing001,9,134
2024-10-27,ing001,6,140
2024-10-28,ing001,6,146
2024-10-29,ing001,5,151
2024-10-30,ing001,7,158
2024-10-31,ing001,5,163
2024-11-01,ing001,2,2
2024-11-02,ing001,4,6
2024-11-03,ing001,6,12
2024-11-04,ing001,7,19
2024-11-05,ing001,4,23
2024-11-06,ing001,8,31
2024-11-07,ing001,4,35
2024-11-08,ing001,6,41
2024-11-09,ing001,4,45
2024-11-10,ing001,7,52
2024-11-11,ing001,2,54
2024-11-12,ing001,5,59
2024-11-13,ing001,5,64
2024-11-14,ing001,7,71
2024-11-15,ing001,4,75
2024-11-16,ing001,6,81
2024-11-17,ing001,8,89
2024-11-18,ing001,3,92
2024-11-19,ing001,4,96
2024-11-20,ing001,7,103
2024-11-21,ing001,4,107
2024-11-22,ing001,6,113
2024-11-23,ing001,4,117
2024-11-24,ing001,6,123
2024-11-25,ing001,4,127
2024-11-26,ing001,5,132
2024-11-27,ing001,7,139
2024-11-28,ing001,7,146
2024-11-29,ing001,7,153
2024-11-30,ing001,5,158
2024-12-01,ing001,5,5
2024-12-02,ing001,3,8
2024-12-03,ing001,5,13
2024-12-04,ing001,6,19
2024-12-05,ing001,5,24
2024-12-06,ing001,4,28
2024-12-07,ing001,6,34
2024-12-08,ing001,5,39
2024-12-09,ing001,8,47
2024-12-10,ing001,7,54
2024-12-11,ing001,6,60
2024-12-12,ing001,4,64
2024-12-13,ing001,4,68
2024-12-14,ing001,6,74
2024-12-15,ing001,8,82
2024-12-16,ing001,4,86
2024-12-17,ing001,3,89
2024-12-18,ing001,2,91
2024-12-19,ing001,3,94
2024-12-20,ing001,7,101
2024-12-21,ing001,7,108
2024-12-22,ing001,6,114
2024-12-23,ing001,7,121
2024-12-24,ing001,3,124
2024-12-25,ing001,6,130
2024-12-26,ing001,6,136
2024-12-27,ing001,7,143
2024-12-28,ing001,4,147
2024-12-29,ing001,6,153
2024-12-30,ing001,7,160
2024-12-31,ing001,5,165
2025-01-01,ing001,5,5
2025-01-02,ing001,5,10
2025-01-03,ing001,5,15
2025-01-04,ing001,6,21
2025-01-05,ing001,6,27
2025-01-06,ing001,4,31
2025-01-07,ing001,4,35
2025-01-08,ing001,4,39
2025-01-09,ing001,5,44
2025-01-10,ing001,4,48
2025-01-11,ing001,4,52
2025-01-12,ing001,9,61
2025-01-13,ing001,5,66
2025-01-14,ing001,5,71
2025-01-15,ing001,6,77
2025-01-16,ing001,8,85
2025-01-17,ing001,6,91
2025-01-18,ing001,5,96
2025-01-19,ing001,7,103
2025-01-20,ing001,6,109
2025-01-21,ing001,6,115
2025-01-22,ing001,4,119
2025-01-23,ing001,3,122
2025-01-24,ing001,4,126
2025-01-25,ing001,8,134
2025-01-26,ing001,5,139
2025-01-27,ing001,5,144
2025-01-28,ing001,7,151
2025-01-29,ing001,8,159
2025-01-30,ing001,7,166
2025-01-31,ing001,7,173
2025-02-01,ing001,5,5
2025-02-02,ing001,6,11
2025-02-03,ing001,9,20
2025-02-04,ing001,6,26
2025-02-05,ing001,5,31
2025-02-06,ing001,4,35
2025-02-07,ing001,6,41
2025-02-08,ing001,4,45
2025-02-09,ing001,7,52
2025-02-10,ing001,4,56
2025-02-11,ing001,8,64
2025-02-12,ing001,4,68
2025-02-13,ing001,5,73
2025-02-14,ing001,6,79
2025-02-15,ing001,4,83
2025-02-16,ing001,5,88
2025-02-17,ing001,4,92
2025-02-18,ing001,5,97
2025-02-19,ing001,8,105
2025-02-20,ing001,8,113
2025-02-21,ing001,5,118
2025-02-22,ing001,7,125
2025-02-23,ing001,6,131
2025-02-24,ing001,5,136
2025-02-25,ing001,7,143
2025-02-26,ing001,8,151
2025-02-27,ing001,3,154
2025-02-28,ing001,9,163
2025-03-01,ing001,5,5
2025-03-02,ing001,9,14
2025-03-03,ing001,3,17
2025-03-04,ing001,6,23
2025-03-05,ing001,5,28
2025-03-06,ing001,6,34
2025-03-07,ing001,6,40
2025-03-08,ing001,7,47
2025-03-09,ing001,4,51
2025-03-10,ing001,6,57
2025-03-11,ing001,6,63
2025-03-12,ing001,7,70
2025-03-13,ing001,7,77
2025-03-14,ing001,6,83
2025-03-15,ing001,5,88
2025-03-16,ing001,6,94
2025-03-17,ing001,8,102
2025-03-18,ing001,4,106
2025-03-19,ing001,4,110
2025-03-20,ing001,9,119
2025-03-21,ing001,2,121
2025-03-22,ing001,6,127
2025-03-23,ing001,6,133
2025-03-24,ing001,7,140
2025-03-25,ing001,6,146
2025-03-26,ing001,5,151
2025-03-27,ing001,5,156
2025-03-28,ing001,7,163
2025-03-29,ing001,8,171
2025-03-30,ing001,5,176
2025-03-31,ing001,7,183
2025-04-01,ing001,5,5
2025-04-02,ing001,6,11
2025-04-03,ing001,5,16
2025-04-04,ing001,7,23
2025-04-05,ing001,4,27
2025-04-06,ing001,5,32
2025-04-07,ing001,4,36
2025-04-08,ing001,4,40
2025-04-09,ing001,7,47
2025-04-10,ing001,4,51
2025-04-11,ing001,5,56
2025-04-12,ing001,5,61
2025-04-13,ing001,8,69
2025-04-14,ing001,6,75
2025-04-15,ing001,6,81
2025-04-16,ing001,7,88
2025-04-17,ing001,3,91
2025-04-18,ing001,7,98
2025-04-19,ing001,4,102
2025-04-20,ing001,6,108
2025-04-21,ing001,5,113
2025-04-22,ing001,5,118
2025-04-23,ing001,5,123
2025-04-24,ing001,5,128
2025-04-25,ing001,6,134
2025-04-26,ing001,5,139
2025-04-27,ing001,4,143
2025-04-28,ing001,6,149
2025-04-29,ing001,4,153
2025-04-30,ing001,6,159
2025-05-01,ing001,7,7
2025-05-02,ing001,3,10
2025-05-03,ing001,6,16
2025-05-04,ing001,3,19
2025-05-05,ing001,8,27
2025-05-06,ing001,4,31
2025-05-07,ing001,4,35
2025-05-08,ing001,7,42
2025-05-09,ing001,6,48
2025-05-10,ing001,2,50
2025-05-11,ing001,5,55
2025-05-12,ing001,7,62
2025-05-13,ing001,4,66
2025-05-14,ing001,6,72
2025-05-15,ing001,8,80
2025-05-16,ing001,7,87
2025-05-17,ing001,4,91
2025-05-18,ing001,6,97
2025-05-19,ing001,7,104
2025-05-20,ing001,5,109
2025-05-21,ing001,5,114
2025-05-22,ing001,2,116
2025-05-23,ing001,4,120
2025-05-24,ing001,6,126
2025-05-25,ing001,6,132
2025-05-26,ing001,4,136
2025-05-27,ing001,5,141
2025-05-28,ing001,6,147
2025-05-29,ing001,4,151
2025-05-30,ing001,6,157
2025-05-31,ing001,6,163
2025-06-01,ing001,5,5
2025-06-02,ing001,5,10
2025-06-03,ing001,4,14
2025-06-04,ing001,5,19
2025-06-05,ing001,6,25
2025-06-06,ing001,4,29
2025-06-07,ing001,8,37
2025-06-08,ing001,5,42
2025-06-09,ing001,4,46
2025-06-10,ing001,4,50
2025-06-11,ing001,5,55
2025-06-12,ing001,7,62
2025-06-13,ing001,6,68
2025-06-14,ing001,4,72
2025-06-15,ing001,3,75
2025-06-16,ing001,4,79
2025-06-17,ing001,6,85
2025-06-18,ing001,6,91
2025-06-19,ing001,5,96
2025-06-20,ing001,5,101
2025-06-21,ing001,5,106
2025-06-22,ing001,7,113
2025-06-23,ing001,7,120
2025-06-24,ing001,5,125
2025-06-25,ing001,6,131
2025-06-26,ing001,3,134
2025-06-27,ing001,4,138
2025-06-28,ing001,5,143
2025-06-29,ing001,7,150
2025-06-30,ing001,6,156
2025-07-01,ing001,4,4
2025-07-02,ing001,5,9
2025-07-03,ing001,6,15
2025-07-04,ing001,5,20
2025-07-05,ing001,6,26
2025-07-06,ing001,4,30
2025-07-07,ing001,8,38
2025-07-08,ing001,4,42
2025-07-09,ing001,8,50
2025-07-10,ing001,3,53
2025-07-11,ing001,6,59
2025-07-12,ing001,8,67
2025-07-13,ing001,6,73
2025-07-14,ing001,4,77
2025-07-15,ing001,4,81
2025-07-16,ing001,5,86
2025-07-17,ing001,5,91
2025-07-18,ing001,4,95
2025-07-19,ing001,6,101
2025-07-20,ing001,7,108
2025-07-21,ing001,5,113
2025-07-22,ing001,8,121
2025-07-23,ing001,6,127
2025-07-24,ing001,7,134
2025-07-25,ing001,10,144
2025-07-26,ing001,4,148
2025-07-27,ing001,9,157
2025-07-28,ing001,3,160
2025-07-29,ing001,5,165
2025-07-30,ing001,5,170
2025-07-31,ing001,4,174
2025-08-01,ing001,6,6
2025-08-02,ing001,5,11
2025-08-03,ing001,7,18
2025-08-04,ing001,2,20
2025-08-05,ing001,4,24
2025-08-06,ing001,8,32
2025-08-07,ing001,3,35
2025-08-08,ing001,4,39
2025-08-09,ing001,5,44
2025-08-10,ing001,4,48
2025-08-11,ing001,4,52
2025-08-12,ing001,4,56
2025-08-13,ing001,5,61
2025-08-14,ing001,6,67
2025-08-15,ing001,6,73
2025-08-16,ing001,5,78
2025-08-17,ing001,6,84
2025-08-18,ing001,8,92
2025-08-19,ing001,8,100
2025-08-20,ing001,6,106
2025-08-21,ing001,6,112
2025-08-22,ing001,7,119
2025-08-23,ing001,7,126
2025-08-24,ing001,5,131
2025-08-25,ing001,5,136
2025-08-26,ing001,8,144
2025-08-27,ing001,6,150
2025-08-28,ing001,7,157
2025-08-29,ing001,4,161
2025-08-30,ing001,5,166
2025-08-31,ing001,3,169
2025-09-01,ing001,4,4
