snapshot_date,ing_id,closing_stock,pending_order,stock_percent_between60_80
2025-10-19,ing019,8,N,"Don't check for Reorder"
2025-10-20,ing019,8,Y,"Don't check for Reorder"
2025-10-21,ing019,8,Y,"Don't check for Reorder"
2025-10-22,ing019,14,N,"Don't check for Reorder"
2025-10-23,ing019,13,N,"Don't check for Reorder"
2025-10-24,ing019,12,N,"Don't check for Reorder"
2025-10-25,ing019,10,N,"CHECK for reorder"
2025-10-19,ing020,11,N,"Don't check for Reorder"
2025-10-20,ing020,11,N,"Don't check for Reorder"
2025-10-21,ing020,11,N,"Don't check for Reorder"
2025-10-22,ing020,11,N,"Don't check for Reorder"
2025-10-23,ing020,11,N,"Don't check for Reorder"
2025-10-24,ing020,11,N,"Don't check for Reorder"
2025-10-25,ing020,10,N,"Don't check for Reorder"
2025-10-19,ing021,12,N,"Don't check for Reorder"
2025-10-20,ing021,12,N,"Don't check for Reorder"
2025-10-21,ing021,12,N,"Don't check for Reorder"
2025-10-22,ing021,12,N,"Don't check for Reorder"
2025-10-23,ing021,12,N,"Don't check for Reorder"
2025-10-24,ing021,12,N,"Don't check for Reorder"
2025-10-25,ing021,11,N,"CHECK for reorder"
2025-10-20,ing022,10,N,"Don't check for Reorder"
2025-10-21,ing022,9,N,"Don't check for Reorder"
2025-10-22,ing022,8,N,"CHECK for reorder"
2025-10-23,ing022,6,N,"Don't check for Reorder"
2025-10-24,ing022,5,Y,"Don't check for Reorder"
2025-10-25,ing022,7,N,"Don't check for Reorder"
2025-10-19,ing023,8,Y,"Don't check for Reorder"
2025-10-20,ing023,13,N,"Don't check for Reorder"
2025-10-21,ing023,12,N,"CHECK for reorder"
2025-10-22,ing023,11,N,"CHECK for reorder"
2025-10-23,ing023,10,N,"CHECK for reorder"
2025-10-24,ing023,10,Y,"Don't check for Reorder"
2025-10-25,ing023,8,Y,"Don't check for Reorder"
2025-10-20,ing024,15,N,"Don't check for Reorder"
2025-10-21,ing024,14,N,"CHECK for reorder"
2025-10-22,ing024,14,N,"Don't check for Reorder"
2025-10-23,ing024,13,N,"CHECK for reorder"
2025-10-24,ing024,13,N,"Don't check for Reorder"
2025-10-25,ing024,12,N,"CHECK for reorder"
2025-10-19,ing025,9,N,"Don't check for Reorder"
2025-10-21,ing025,8,N,"CHECK for reorder"
2025-10-22,ing025,7,N,"Don't check for Reorder"
2025-10-23,ing025,6,Y,"Don't check for Reorder"
2025-10-24,ing025,9,N,"Don't check for Reorder"
2025-10-25,ing025,7,N,"Don't check for Reorder"
2025-10-19,ing026,8,Y,"Don't check for Reorder"
2025-10-21,ing026,14,N,"Don't check for Reorder"
2025-10-22,ing026,14,N,"Don't check for Reorder"
2025-10-23,ing026,13,N,"Don't check for Reorder"
2025-10-24,ing026,12,N,"Don't check for Reorder"
2025-10-25,ing026,11,N,"CHECK for reorder"
2025-10-19,ing027,5,Y,"Don't check for Reorder"
2025-10-21,ing027,9,N,"Don't check for Reorder"
2025-10-22,ing027,9,N,"Don't check for Reorder"
2025-10-23,ing027,8,N,"Don't check for Reorder"
2025-10-24,ing027,7,N,"CHECK for reorder"
2025-10-25,ing027,6,N,"CHECK for reorder"
2025-10-19,ing028,6,Y,"Don't check for Reorder"
2025-10-20,ing028,11,N,"Don't check for Reorder"
2025-10-21,ing028,9,N,"CHECK for reorder"
2025-10-22,ing028,8,N,"CHECK for reorder"
2025-10-23,ing028,8,Y,"Don't check for Reorder"
2025-10-24,ing028,8,Y,"Don't check for Reorder"
2025-10-25,ing028,12,N,"Don't check for Reorder"
2025-10-19,ing029,1,Y,"Don't check for Reorder"
2025-10-20,ing029,5,N,"Don't check for Reorder"
2025-10-21,ing029,2,Y,"Don't check for Reorder"
2025-10-22,ing029,1,Y,"Don't check for Reorder"
2025-10-23,ing029,6,N,"Don't check for Reorder"
2025-10-24,ing029,6,Y,"Don't check for Reorder"
2025-10-25,ing029,5,Y,"Don't check for Reorder"
2025-10-19,ing030,21,N,"Don't check for Reorder"
2025-10-20,ing030,21,N,"Don't check for Reorder"
2025-10-21,ing030,19,N,"CHECK for reorder"
2025-10-22,ing030,18,N,"CHECK for reorder"
2025-10-23,ing030,18,N,"Don't check for Reorder"
2025-10-24,ing030,17,N,"CHECK for reorder"
2025-10-25,ing030,16,N,"CHECK for reorder"
2025-10-19,ing031,7,N,"Don't check for Reorder"
2025-10-20,ing031,7,N,"Don't check for Reorder"
2025-10-21,ing031,7,N,"Don't check for Reorder"
2025-10-22,ing031,7,N,"Don't check for Reorder"
2025-10-23,ing031,7,N,"Don't check for Reorder"
2025-10-24,ing031,7,N,"Don't check for Reorder"
2025-10-25,ing031,7,N,"Don't check for Reorder"
2025-10-20,ing032,21,N,"Don't check for Reorder"
2025-10-21,ing032,21,N,"Don't check for Reorder"
2025-10-22,ing032,20,N,"Don't check for Reorder"
2025-10-23,ing032,19,N,"Don't check for Reorder"
2025-10-25,ing032,18,N,"Don't check for Reorder"
2025-10-20,ing033,10,N,"Don't check for Reorder"
2025-10-21,ing033,10,N,"Don't check for Reorder"
2025-10-22,ing033,10,N,"Don't check for Reorder"
2025-10-23,ing033,10,N,"Don't check for Reorder"
2025-10-25,ing033,10,N,"Don't check for Reorder"
2025-10-20,ing034,13,N,"Don't check for Reorder"
2025-10-21,ing034,13,N,"Don't check for Reorder"
2025-10-22,ing034,13,N,"Don't check for Reorder"
2025-10-23,ing034,13,N,"Don't check for Reorder"
2025-10-25,ing034,13,N,"Don't check for Reorder"
2025-10-19,ing035,26,N,"CHECK for reorder"
2025-10-21,ing035,25,N,"CHECK for reorder"
2025-10-22,ing035,25,N,"Don't check for Reorder"
2025-10-23,ing035,24,N,"CHECK for reorder"
2025-10-24,ing035,24,N,"Don't check for Reorder"
2025-10-19,ing036,14,N,"Don't check for Reorder"
2025-10-20,ing036,14,N,"Don't check for Reorder"
2025-10-21,ing036,14,N,"Don't check for Reorder"
2025-10-22,ing036,14,N,"Don't check for Reorder"
2025-10-23,ing036,14,N,"Don't check for Reorder"
2025-10-24,ing036,14,N,"Don't check for Reorder"
2025-10-25,ing036,14,N,"Don't check for Reorder"
2025-10-19,ing037,19,N,"Don't check for Reorder"
2025-10-20,ing037,18,N,"Don't check for Reorder"
2025-10-21,ing037,18,N,"Don't check for Reorder"
2025-10-22,ing037,18,N,"Don't check for Reorder"
2025-10-23,ing037,17,N,"Don't check for Reorder"
2025-10-24,ing037,16,N,"Don't check for Reorder"
2025-10-25,ing037,16,N,"Don't check for Reorder"
2025-10-19,ing038,15,N,"Don't check for Reorder"
2025-10-20,ing038,15,N,"Don't check for Reorder"
2025-10-21,ing038,15,N,"Don't check for Reorder"
2025-10-22,ing038,15,N,"Don't check for Reorder"
2025-10-23,ing038,15,N,"Don't check for Reorder"
2025-10-24,ing038,15,N,"Don't check for Reorder"
2025-10-25,ing038,15,N,"Don't check for Reorder"
2025-10-19,ing039,15,N,"Don't check for Reorder"
2025-10-20,ing039,15,N,"Don't check for Reorder"
2025-10-21,ing039,15,N,"Don't check for Reorder"
2025-10-22,ing039,15,N,"Don't check for Reorder"
2025-10-23,ing039,15,N,"Don't check for Reorder"
2025-10-24,ing039,15,N,"Don't check for Reorder"
2025-10-25,ing039,15,N,"Don't check for Reorder"
2025-10-19,ing040,16,N,"Don't check for Reorder"
2025-10-20,ing040,16,N,"Don't check for Reorder"
2025-10-21,ing040,15,N,"Don't check for Reorder"
2025-10-22,ing040,15,N,"Don't check for Reorder"
2025-10-24,ing040,15,N,"Don't check for Reorder"
2025-10-25,ing040,14,N,"Don't check for Reorder"
2025-10-19,ing041,16,N,"Don't check for Reorder"
2025-10-20,ing041,16,N,"Don't check for Reorder"
2025-10-21,ing041,16,N,"Don't check for Reorder"
2025-10-22,ing041,16,N,"Don't check for Reorder"
2025-10-24,ing041,16,N,"Don't check for Reorder"
2025-10-25,ing041,16,N,"Don't check for Reorder"
2025-10-19,ing042,8,N,"CHECK for reorder"
2025-10-20,ing042,8,Y,"Don't check for Reorder"
2025-10-21,ing042,7,Y,"Don't check for Reorder"
2025-10-24,ing042,11,N,"Don't check for Reorder"
2025-10-25,ing042,11,N,"Don't check for Reorder"
2025-10-19,ing043,10,N,"Don't check for Reorder"
2025-10-20,ing043,10,N,"Don't check for Reorder"
2025-10-21,ing043,10,N,"Don't check for Reorder"
2025-10-24,ing043,10,N,"Don't check for Reorder"
2025-10-25,ing043,10,N,"Don't check for Reorder"
2025-10-19,ing044,12,Y,"Don't check for Reorder"
2025-10-20,ing044,12,Y,"Don't check for Reorder"
2025-10-22,ing044,21,N,"Don't check for Reorder"
2025-10-23,ing044,20,N,"Don't check for Reorder"
2025-10-24,ing044,19,N,"Don't check for Reorder"
2025-10-19,ing045,15,N,"Don't check for Reorder"
2025-10-20,ing045,15,N,"Don't check for Reorder"
2025-10-22,ing045,15,N,"Don't check for Reorder"
2025-10-23,ing045,14,N,"CHECK for reorder"
2025-10-24,ing045,13,N,"CHECK for reorder"
2025-10-19,ing046,12,N,"CHECK for reorder"
2025-10-20,ing046,11,Y,"Don't check for Reorder"
2025-10-21,ing046,10,Y,"Don't check for Reorder"
2025-10-22,ing046,17,N,"Don't check for Reorder"
2025-10-23,ing046,17,N,"Don't check for Reorder"
2025-10-24,ing046,16,N,"CHECK for reorder"
2025-10-25,ing046,15,N,"CHECK for reorder"
2025-10-19,ing047,43,N,"Don't check for Reorder"
2025-10-20,ing047,39,Y,"Don't check for Reorder"
2025-10-21,ing047,38,Y,"Don't check for Reorder"
2025-10-22,ing047,67,N,"Don't check for Reorder"
2025-10-23,ing047,64,N,"Don't check for Reorder"
2025-10-24,ing047,54,N,"CHECK for reorder"
2025-10-25,ing047,46,N,"CHECK for reorder"
2025-10-19,ing048,27,N,"Don't check for Reorder"
2025-10-20,ing048,24,Y,"Don't check for Reorder"
2025-10-22,ing048,39,N,"Don't check for Reorder"
2025-10-23,ing048,34,N,"CHECK for reorder"
2025-10-25,ing048,22,N,"Don't check for Reorder"
2025-10-19,ing049,62,N,"CHECK for reorder"
2025-10-20,ing049,57,N,"CHECK for reorder"
2025-10-21,ing049,49,N,"Don't check for Reorder"
2025-10-23,ing049,44,Y,"Don't check for Reorder"
2025-10-24,ing049,75,N,"Don't check for Reorder"
2025-10-19,ing050,29,N,"Don't check for Reorder"
2025-10-20,ing050,22,Y,"Don't check for Reorder"
2025-10-21,ing050,19,Y,"Don't check for Reorder"
2025-10-22,ing050,40,N,"Don't check for Reorder"
2025-10-23,ing050,31,N,"Don't check for Reorder"
2025-10-25,ing050,26,Y,"Don't check for Reorder"
2025-10-19,ing051,56,N,"CHECK for reorder"
2025-10-20,ing051,48,N,"CHECK for reorder"
2025-10-22,ing051,76,N,"Don't check for Reorder"
2025-10-23,ing051,72,N,"Don't check for Reorder"
2025-10-24,ing051,71,N,"Don't check for Reorder"
2025-10-25,ing051,60,N,"CHECK for reorder"
2025-10-20,ing052,23,Y,"Don't check for Reorder"
2025-10-21,ing052,46,N,"Don't check for Reorder"
2025-10-22,ing052,41,N,"CHECK for reorder"
2025-10-23,ing052,37,N,"CHECK for reorder"
2025-10-24,ing052,32,N,"Don't check for Reorder"
2025-10-25,ing052,22,Y,"Don't check for Reorder"
2025-10-19,ing053,37,Y,"Don't check for Reorder"
2025-10-20,ing053,65,N,"Don't check for Reorder"
2025-10-21,ing053,62,N,"CHECK for reorder"
2025-10-23,ing053,60,N,"CHECK for reorder"
2025-10-24,ing053,56,N,"CHECK for reorder"
2025-10-25,ing053,42,N,"Don't check for Reorder"
2025-10-19,ing054,-3,Y,"Don't check for Reorder"
2025-10-20,ing054,38,N,"Don't check for Reorder"
2025-10-21,ing054,30,N,"Don't check for Reorder"
2025-10-23,ing054,28,Y,"Don't check for Reorder"
2025-10-24,ing054,46,N,"Don't check for Reorder"
2025-10-25,ing054,45,N,"Don't check for Reorder"
