order_date,total_orders,total_order_lines,order_line_density_velocity,order_velocity
2023-04-26,22,62,2.82,22
2023-04-27,25,65,2.60,25
2023-04-28,23,54,2.35,23
2023-04-29,20,54,2.70,20
2023-04-30,25,56,2.24,25
2023-05-01,24,67,2.79,24
2023-05-02,20,40,2.00,20
2023-05-03,22,48,2.18,22
2023-05-04,24,58,2.42,24
2023-05-05,24,73,3.04,24
2023-05-06,24,57,2.38,24
2023-05-07,23,59,2.57,23
2023-05-08,25,54,2.16,25
2023-05-09,23,48,2.09,23
2023-05-10,24,61,2.54,24
2023-05-11,23,58,2.52,23
2023-05-12,21,57,2.71,21
2023-05-13,22,64,2.91,22
2023-05-14,25,66,2.64,25
2023-05-15,22,56,2.55,22
2023-05-16,25,56,2.24,25
2023-05-17,22,47,2.14,22
2023-05-18,21,62,2.95,21
2023-05-19,21,49,2.33,21
2023-05-20,24,56,2.33,24
2023-05-21,24,57,2.38,24
2023-05-22,20,52,2.60,20
2023-05-23,20,51,2.55,20
2023-05-24,25,50,2.00,25
2023-05-25,23,58,2.52,23
2023-05-26,22,51,2.32,22
2023-05-27,25,53,2.12,25
2023-05-28,20,57,2.85,20
2023-05-29,20,53,2.65,20
2023-05-30,25,62,2.48,25
2023-05-31,21,54,2.57,21
2023-06-01,21,51,2.43,21
2023-06-02,23,60,2.61,23
2023-06-03,24,59,2.46,24
2023-06-04,22,54,2.45,22
2023-06-05,24,53,2.21,24
2023-06-06,21,46,2.19,21
2023-06-07,24,66,2.75,24
2023-06-08,24,52,2.17,24
2023-06-09,22,50,2.27,22
2023-06-10,24,52,2.17,24
2023-06-11,21,48,2.29,21
2023-06-12,23,56,2.43,23
2023-06-13,25,65,2.60,25
2023-06-14,20,58,2.90,20
2023-06-15,24,66,2.75,24
2023-06-16,23,61,2.65,23
2023-06-17,20,43,2.15,20
2023-06-18,20,44,2.20,20
2023-06-19,25,60,2.40,25
2023-06-20,22,57,2.59,22
2023-06-21,22,59,2.68,22
2023-06-22,25,60,2.40,25
2023-06-23,20,51,2.55,20
2023-06-24,22,64,2.91,22
2023-06-25,22,51,2.32,22
2023-06-26,22,57,2.59,22
2023-06-27,20,47,2.35,20
2023-06-28,21,46,2.19,21
2023-06-29,22,51,2.32,22
2023-06-30,23,59,2.57,23
2023-07-01,22,55,2.50,22
2023-07-02,21,54,2.57,21
2023-07-03,24,61,2.54,24
2023-07-04,20,52,2.60,20
2023-07-05,21,55,2.62,21
2023-07-06,21,59,2.81,21
2023-07-07,23,56,2.43,23
2023-07-08,23,60,2.61,23
2023-07-09,22,64,2.91,22
2023-07-10,24,65,2.71,24
2023-07-11,23,65,2.83,23
2023-07-12,25,68,2.72,25
2023-07-13,20,57,2.85,20
2023-07-14,24,63,2.63,24
2023-07-15,21,50,2.38,21
2023-07-16,23,56,2.43,23
2023-07-17,20,44,2.20,20
2023-07-18,25,56,2.24,25
2023-07-19,21,63,3.00,21
2023-07-20,23,64,2.78,23
2023-07-21,20,53,2.65,20
2023-07-22,24,61,2.54,24
2023-07-23,25,62,2.48,25
2023-07-24,21,54,2.57,21
2023-07-25,24,57,2.38,24
2023-07-26,25,55,2.20,25
2023-07-27,25,66,2.64,25
2023-07-28,22,46,2.09,22
2023-07-29,24,62,2.58,24
2023-07-30,21,51,2.43,21
2023-07-31,21,53,2.52,21
2023-08-01,21,51,2.43,21
2023-08-02,23,61,2.65,23
2023-08-03,22,61,2.77,22
2023-08-04,24,62,2.58,24
2023-08-05,24,58,2.42,24
2023-08-06,21,65,3.10,21
2023-08-07,20,48,2.40,20
2023-08-08,25,65,2.60,25
2023-08-09,23,62,2.70,23
2023-08-10,22,58,2.64,22
2023-08-11,20,42,2.10,20
2023-08-12,24,68,2.83,24
2023-08-13,21,53,2.52,21
2023-08-14,20,56,2.80,20
2023-08-15,21,49,2.33,21
2023-08-16,23,59,2.57,23
2023-08-17,21,58,2.76,21
2023-08-18,20,43,2.15,20
2023-08-19,23,53,2.30,23
2023-08-20,25,65,2.60,25
2023-08-21,23,54,2.35,23
2023-08-22,25,56,2.24,25
2023-08-23,24,61,2.54,24
2023-08-24,25,56,2.24,25
2023-08-25,22,52,2.36,22
2023-08-26,23,58,2.52,23
2023-08-27,20,56,2.80,20
2023-08-28,22,69,3.14,22
2023-08-29,22,47,2.14,22
2023-08-30,23,59,2.57,23
2023-08-31,25,69,2.76,25
2023-09-01,22,51,2.32,22
2023-09-02,21,61,2.90,21
2023-09-03,24,52,2.17,24
2023-09-04,25,56,2.24,25
2023-09-05,20,49,2.45,20
2023-09-06,24,61,2.54,24
2023-09-07,25,73,2.92,25
2023-09-08,24,63,2.63,24
2023-09-09,24,60,2.50,24
2023-09-10,21,45,2.14,21
2023-09-11,21,59,2.81,21
2023-09-12,23,59,2.57,23
2023-09-13,20,54,2.70,20
2023-09-14,20,49,2.45,20
2023-09-15,20,46,2.30,20
2023-09-16,20,56,2.80,20
2023-09-17,23,51,2.22,23
2023-09-18,23,62,2.70,23
2023-09-19,22,49,2.23,22
2023-09-20,25,56,2.24,25
2023-09-21,24,65,2.71,24
2023-09-22,20,51,2.55,20
2023-09-23,24,53,2.21,24
2023-09-24,24,61,2.54,24
2023-09-25,24,58,2.42,24
2023-09-26,21,53,2.52,21
2023-09-27,22,46,2.09,22
2023-09-28,24,53,2.21,24
2023-09-29,20,53,2.65,20
2023-09-30,25,68,2.72,25
2023-10-01,25,58,2.32,25
2023-10-02,25,64,2.56,25
2023-10-03,23,52,2.26,23
2023-10-04,23,55,2.39,23
2023-10-05,25,62,2.48,25
2023-10-06,24,55,2.29,24
2023-10-07,24,66,2.75,24
2023-10-08,23,58,2.52,23
2023-10-09,24,66,2.75,24
2023-10-10,21,50,2.38,21
2023-10-11,25,55,2.20,25
2023-10-12,24,64,2.67,24
2023-10-13,22,51,2.32,22
2023-10-14,23,57,2.48,23
2023-10-15,21,51,2.43,21
2023-10-16,23,52,2.26,23
2023-10-17,25,67,2.68,25
2023-10-18,24,74,3.08,24
2023-10-19,22,51,2.32,22
2023-10-20,23,56,2.43,23
2023-10-21,24,51,2.13,24
2023-10-22,21,51,2.43,21
2023-10-23,21,56,2.67,21
2023-10-24,20,53,2.65,20
2023-10-25,22,57,2.59,22
2023-10-26,20,49,2.45,20
2023-10-27,21,61,2.90,21
2023-10-28,20,41,2.05,20
2023-10-29,23,62,2.70,23
2023-10-30,25,73,2.92,25
2023-10-31,23,59,2.57,23
2023-11-01,25,76,3.04,25
2023-11-02,20,54,2.70,20
2023-11-03,24,50,2.08,24
2023-11-04,21,47,2.24,21
2023-11-05,23,58,2.52,23
2023-11-06,23,57,2.48,23
2023-11-07,24,63,2.63,24
2023-11-08,22,58,2.64,22
2023-11-09,20,47,2.35,20
2023-11-10,20,51,2.55,20
2023-11-11,20,53,2.65,20
2023-11-12,25,68,2.72,25
2023-11-13,20,43,2.15,20
2023-11-14,23,54,2.35,23
2023-11-15,23,60,2.61,23
2023-11-16,20,50,2.50,20
2023-11-17,22,51,2.32,22
2023-11-18,23,53,2.30,23
2023-11-19,21,58,2.76,21
2023-11-20,24,65,2.71,24
2023-11-21,24,61,2.54,24
2023-11-22,23,47,2.04,23
2023-11-23,20,45,2.25,20
2023-11-24,23,57,2.48,23
2023-11-25,25,59,2.36,25
2023-11-26,21,51,2.43,21
2023-11-27,23,63,2.74,23
2023-11-28,24,64,2.67,24
2023-11-29,23,64,2.78,23
2023-11-30,24,51,2.13,24
2023-12-01,22,60,2.73,22
2023-12-02,21,54,2.57,21
2023-12-03,23,59,2.57,23
2023-12-04,20,57,2.85,20
2023-12-05,25,58,2.32,25
2023-12-06,23,57,2.48,23
2023-12-07,23,54,2.35,23
2023-12-08,23,54,2.35,23
2023-12-09,25,69,2.76,25
2023-12-10,23,65,2.83,23
2023-12-11,23,59,2.57,23
2023-12-12,24,61,2.54,24
2023-12-13,22,50,2.27,22
2023-12-14,22,48,2.18,22
2023-12-15,24,56,2.33,24
2023-12-16,24,58,2.42,24
2023-12-17,21,49,2.33,21
2023-12-18,23,68,2.96,23
2023-12-19,23,70,3.04,23
2023-12-20,23,54,2.35,23
2023-12-21,21,55,2.62,21
2023-12-22,25,65,2.60,25
2023-12-23,22,53,2.41,22
2023-12-24,20,57,2.85,20
2023-12-25,24,61,2.54,24
2023-12-26,21,56,2.67,21
2023-12-27,23,52,2.26,23
2023-12-28,23,52,2.26,23
2023-12-29,25,66,2.64,25
2023-12-30,22,55,2.50,22
2023-12-31,24,62,2.58,24
2024-01-01,25,63,2.52,25
2024-01-02,22,61,2.77,22
2024-01-03,21,56,2.67,21
2024-01-04,24,52,2.17,24
2024-01-05,20,55,2.75,20
2024-01-06,23,56,2.43,23
2024-01-07,23,62,2.70,23
2024-01-08,21,62,2.95,21
2024-01-09,22,55,2.50,22
2024-01-10,24,54,2.25,24
2024-01-11,24,62,2.58,24
2024-01-12,21,53,2.52,21
2024-01-13,24,62,2.58,24
2024-01-14,24,56,2.33,24
2024-01-15,20,41,2.05,20
2024-01-16,21,54,2.57,21
2024-01-17,24,51,2.13,24
2024-01-18,24,60,2.50,24
2024-01-19,22,55,2.50,22
2024-01-20,23,65,2.83,23
2024-01-21,22,69,3.14,22
2024-01-22,23,55,2.39,23
2024-01-23,23,59,2.57,23
2024-01-24,24,54,2.25,24
2024-01-25,24,62,2.58,24
2024-01-26,20,48,2.40,20
2024-01-27,20,54,2.70,20
2024-01-28,23,63,2.74,23
2024-01-29,22,54,2.45,22
2024-01-30,23,66,2.87,23
2024-01-31,23,55,2.39,23
2024-02-01,21,49,2.33,21
2024-02-02,21,58,2.76,21
2024-02-03,21,57,2.71,21
2024-02-04,22,46,2.09,22
2024-02-05,25,61,2.44,25
2024-02-06,24,70,2.92,24
2024-02-07,24,54,2.25,24
2024-02-08,20,51,2.55,20
2024-02-09,23,61,2.65,23
2024-02-10,22,54,2.45,22
2024-02-11,20,44,2.20,20
2024-02-12,23,55,2.39,23
2024-02-13,21,52,2.48,21
2024-02-14,25,72,2.88,25
2024-02-15,25,69,2.76,25
2024-02-16,23,65,2.83,23
2024-02-17,21,67,3.19,21
2024-02-18,24,66,2.75,24
2024-02-19,22,62,2.82,22
2024-02-20,20,51,2.55,20
2024-02-21,22,59,2.68,22
2024-02-22,24,60,2.50,24
2024-02-23,22,55,2.50,22
2024-02-24,25,55,2.20,25
2024-02-25,21,40,1.90,21
2024-02-26,20,50,2.50,20
2024-02-27,22,56,2.55,22
2024-02-28,22,55,2.50,22
2024-02-29,21,48,2.29,21
2024-03-01,21,50,2.38,21
2024-03-02,25,75,3.00,25
2024-03-03,21,55,2.62,21
2024-03-04,20,42,2.10,20
2024-03-05,22,58,2.64,22
2024-03-06,25,73,2.92,25
2024-03-07,25,66,2.64,25
2024-03-08,20,56,2.80,20
2024-03-09,24,67,2.79,24
2024-03-10,24,50,2.08,24
2024-03-11,20,55,2.75,20
2024-03-12,21,51,2.43,21
2024-03-13,23,65,2.83,23
2024-03-14,25,58,2.32,25
2024-03-15,21,58,2.76,21
2024-03-16,21,54,2.57,21
2024-03-17,20,41,2.05,20
2024-03-18,20,47,2.35,20
2024-03-19,22,50,2.27,22
2024-03-20,20,49,2.45,20
2024-03-21,21,52,2.48,21
2024-03-22,24,64,2.67,24
2024-03-23,21,49,2.33,21
2024-03-24,23,60,2.61,23
2024-03-25,21,56,2.67,21
2024-03-26,23,67,2.91,23
2024-03-27,24,52,2.17,24
2024-03-28,25,55,2.20,25
2024-03-29,25,58,2.32,25
2024-03-30,25,57,2.28,25
2024-03-31,23,62,2.70,23
2024-04-01,21,53,2.52,21
2024-04-02,25,63,2.52,25
2024-04-03,25,65,2.60,25
2024-04-04,20,51,2.55,20
2024-04-05,20,49,2.45,20
2024-04-06,22,57,2.59,22
2024-04-07,23,55,2.39,23
2024-04-08,24,53,2.21,24
2024-04-09,22,59,2.68,22
2024-04-10,24,62,2.58,24
2024-04-11,22,55,2.50,22
2024-04-12,20,52,2.60,20
2024-04-13,20,45,2.25,20
2024-04-14,21,53,2.52,21
2024-04-15,22,58,2.64,22
2024-04-16,24,49,2.04,24
2024-04-17,23,62,2.70,23
2024-04-18,24,61,2.54,24
2024-04-19,20,49,2.45,20
2024-04-20,20,51,2.55,20
2024-04-21,23,64,2.78,23
2024-04-22,21,55,2.62,21
2024-04-23,23,53,2.30,23
2024-04-24,23,70,3.04,23
2024-04-25,24,60,2.50,24
2024-04-26,25,69,2.76,25
2024-04-27,23,44,1.91,23
2024-04-28,24,60,2.50,24
2024-04-29,20,51,2.55,20
2024-04-30,22,56,2.55,22
2024-05-01,23,54,2.35,23
2024-05-02,23,47,2.04,23
2024-05-03,21,49,2.33,21
2024-05-04,22,54,2.45,22
2024-05-05,21,56,2.67,21
2024-05-06,25,64,2.56,25
2024-05-07,21,55,2.62,21
2024-05-08,20,44,2.20,20
2024-05-09,20,52,2.60,20
2024-05-10,23,63,2.74,23
2024-05-11,23,55,2.39,23
2024-05-12,20,47,2.35,20
2024-05-13,21,55,2.62,21
2024-05-14,24,65,2.71,24
2024-05-15,25,62,2.48,25
2024-05-16,24,64,2.67,24
2024-05-17,23,58,2.52,23
2024-05-18,20,51,2.55,20
2024-05-19,22,51,2.32,22
2024-05-20,20,57,2.85,20
2024-05-21,22,63,2.86,22
2024-05-22,23,54,2.35,23
2024-05-23,20,48,2.40,20
2024-05-24,20,53,2.65,20
2024-05-25,25,69,2.76,25
2024-05-26,24,73,3.04,24
2024-05-27,21,48,2.29,21
2024-05-28,24,66,2.75,24
2024-05-29,21,50,2.38,21
2024-05-30,23,56,2.43,23
2024-05-31,22,58,2.64,22
2024-06-01,21,47,2.24,21
2024-06-02,24,64,2.67,24
2024-06-03,20,43,2.15,20
2024-06-04,22,52,2.36,22
2024-06-05,25,51,2.04,25
2024-06-06,22,58,2.64,22
2024-06-07,22,56,2.55,22
2024-06-08,20,58,2.90,20
2024-06-09,25,63,2.52,25
2024-06-10,21,57,2.71,21
2024-06-11,20,51,2.55,20
2024-06-12,20,49,2.45,20
2024-06-13,22,63,2.86,22
2024-06-14,22,61,2.77,22
2024-06-15,20,49,2.45,20
2024-06-16,25,66,2.64,25
2024-06-17,21,45,2.14,21
2024-06-18,24,56,2.33,24
2024-06-19,22,61,2.77,22
2024-06-20,21,45,2.14,21
2024-06-21,20,53,2.65,20
2024-06-22,24,64,2.67,24
2024-06-23,25,68,2.72,25
2024-06-24,20,45,2.25,20
2024-06-25,20,53,2.65,20
2024-06-26,25,70,2.80,25
2024-06-27,22,51,2.32,22
2024-06-28,24,64,2.67,24
2024-06-29,21,45,2.14,21
2024-06-30,20,57,2.85,20
2024-07-01,20,47,2.35,20
2024-07-02,20,53,2.65,20
2024-07-03,21,53,2.52,21
2024-07-04,21,45,2.14,21
2024-07-05,21,54,2.57,21
2024-07-06,20,53,2.65,20
2024-07-07,22,50,2.27,22
2024-07-08,25,63,2.52,25
2024-07-09,23,66,2.87,23
2024-07-10,21,55,2.62,21
2024-07-11,21,57,2.71,21
2024-07-12,21,41,1.95,21
2024-07-13,25,63,2.52,25
2024-07-14,25,53,2.12,25
2024-07-15,23,53,2.30,23
2024-07-16,20,53,2.65,20
2024-07-17,25,77,3.08,25
2024-07-18,23,57,2.48,23
2024-07-19,23,57,2.48,23
2024-07-20,21,48,2.29,21
2024-07-21,24,55,2.29,24
2024-07-22,21,52,2.48,21
2024-07-23,20,44,2.20,20
2024-07-24,24,67,2.79,24
2024-07-25,22,47,2.14,22
2024-07-26,25,67,2.68,25
2024-07-27,24,58,2.42,24
2024-07-28,21,50,2.38,21
2024-07-29,20,57,2.85,20
2024-07-30,22,55,2.50,22
2024-07-31,23,50,2.17,23
2024-08-01,23,56,2.43,23
2024-08-02,20,54,2.70,20
2024-08-03,24,59,2.46,24
2024-08-04,21,56,2.67,21
2024-08-05,22,52,2.36,22
2024-08-06,20,43,2.15,20
2024-08-07,23,59,2.57,23
2024-08-08,21,51,2.43,21
2024-08-09,24,67,2.79,24
2024-08-10,20,43,2.15,20
2024-08-11,24,49,2.04,24
2024-08-12,21,50,2.38,21
2024-08-13,25,56,2.24,25
2024-08-14,20,53,2.65,20
2024-08-15,23,63,2.74,23
2024-08-16,21,53,2.52,21
2024-08-17,24,72,3.00,24
2024-08-18,24,51,2.13,24
2024-08-19,25,69,2.76,25
2024-08-20,24,59,2.46,24
2024-08-21,21,66,3.14,21
2024-08-22,22,57,2.59,22
2024-08-23,23,54,2.35,23
2024-08-24,24,54,2.25,24
2024-08-25,25,53,2.12,25
2024-08-26,25,65,2.60,25
2024-08-27,20,45,2.25,20
2024-08-28,20,54,2.70,20
2024-08-29,23,44,1.91,23
2024-08-30,24,62,2.58,24
2024-08-31,20,57,2.85,20
2024-09-01,22,50,2.27,22
2024-09-02,21,46,2.19,21
2024-09-03,20,40,2.00,20
2024-09-04,23,54,2.35,23
2024-09-05,21,54,2.57,21
2024-09-06,21,44,2.10,21
2024-09-07,20,47,2.35,20
2024-09-08,21,57,2.71,21
2024-09-09,24,59,2.46,24
2024-09-10,21,51,2.43,21
2024-09-11,24,55,2.29,24
2024-09-12,21,48,2.29,21
2024-09-13,20,52,2.60,20
2024-09-14,25,62,2.48,25
2024-09-15,20,47,2.35,20
2024-09-16,21,49,2.33,21
2024-09-17,24,54,2.25,24
2024-09-18,21,49,2.33,21
2024-09-19,23,59,2.57,23
2024-09-20,22,49,2.23,22
2024-09-21,22,42,1.91,22
2024-09-22,21,58,2.76,21
2024-09-23,24,62,2.58,24
2024-09-24,22,51,2.32,22
2024-09-25,23,52,2.26,23
2024-09-26,20,49,2.45,20
2024-09-27,23,48,2.09,23
2024-09-28,21,48,2.29,21
2024-09-29,23,63,2.74,23
2024-09-30,21,54,2.57,21
2024-10-01,23,63,2.74,23
2024-10-02,21,49,2.33,21
2024-10-03,25,64,2.56,25
2024-10-04,25,63,2.52,25
2024-10-05,21,49,2.33,21
2024-10-06,24,52,2.17,24
2024-10-07,24,66,2.75,24
2024-10-08,22,55,2.50,22
2024-10-09,23,52,2.26,23
2024-10-10,20,52,2.60,20
2024-10-11,21,44,2.10,21
2024-10-12,21,62,2.95,21
2024-10-13,21,50,2.38,21
2024-10-14,20,48,2.40,20
2024-10-15,23,72,3.13,23
2024-10-16,22,57,2.59,22
2024-10-17,20,54,2.70,20
2024-10-18,21,54,2.57,21
2024-10-19,25,59,2.36,25
2024-10-20,25,69,2.76,25
2024-10-21,21,55,2.62,21
2024-10-22,22,53,2.41,22
2024-10-23,22,58,2.64,22
2024-10-24,20,57,2.85,20
2024-10-25,24,52,2.17,24
2024-10-26,23,61,2.65,23
2024-10-27,24,52,2.17,24
2024-10-28,22,56,2.55,22
2024-10-29,22,57,2.59,22
2024-10-30,22,54,2.45,22
2024-10-31,20,44,2.20,20
2024-11-01,22,47,2.14,22
2024-11-02,22,50,2.27,22
2024-11-03,22,63,2.86,22
2024-11-04,23,67,2.91,23
2024-11-05,23,58,2.52,23
2024-11-06,22,51,2.32,22
2024-11-07,20,46,2.30,20
2024-11-08,22,55,2.50,22
2024-11-09,20,47,2.35,20
2024-11-10,22,66,3.00,22
2024-11-11,21,50,2.38,21
2024-11-12,24,64,2.67,24
2024-11-13,23,52,2.26,23
2024-11-14,24,62,2.58,24
2024-11-15,21,54,2.57,21
2024-11-16,22,55,2.50,22
2024-11-17,20,44,2.20,20
2024-11-18,21,48,2.29,21
2024-11-19,20,51,2.55,20
2024-11-20,21,51,2.43,21
2024-11-21,21,47,2.24,21
2024-11-22,23,61,2.65,23
2024-11-23,22,49,2.23,22
2024-11-24,23,54,2.35,23
2024-11-25,23,53,2.30,23
2024-11-26,21,52,2.48,21
2024-11-27,25,59,2.36,25
2024-11-28,20,53,2.65,20
2024-11-29,21,50,2.38,21
2024-11-30,20,53,2.65,20
2024-12-01,20,50,2.50,20
2024-12-02,20,55,2.75,20
2024-12-03,22,45,2.05,22
2024-12-04,23,60,2.61,23
2024-12-05,23,45,1.96,23
2024-12-06,21,54,2.57,21
2024-12-07,22,54,2.45,22
2024-12-08,22,47,2.14,22
2024-12-09,22,56,2.55,22
2024-12-10,23,58,2.52,23
2024-12-11,24,60,2.50,24
2024-12-12,21,55,2.62,21
2024-12-13,21,56,2.67,21
2024-12-14,21,60,2.86,21
2024-12-15,20,55,2.75,20
2024-12-16,22,50,2.27,22
2024-12-17,21,54,2.57,21
2024-12-18,22,46,2.09,22
2024-12-19,20,43,2.15,20
2024-12-20,21,56,2.67,21
2024-12-21,22,65,2.95,22
2024-12-22,25,55,2.20,25
2024-12-23,21,50,2.38,21
2024-12-24,21,50,2.38,21
2024-12-25,21,52,2.48,21
2024-12-26,20,53,2.65,20
2024-12-27,23,64,2.78,23
2024-12-28,24,56,2.33,24
2024-12-29,20,54,2.70,20
2024-12-30,22,56,2.55,22
2024-12-31,24,66,2.75,24
2025-01-01,23,60,2.61,23
2025-01-02,23,58,2.52,23
2025-01-03,25,64,2.56,25
2025-01-04,23,50,2.17,23
2025-01-05,22,55,2.50,22
2025-01-06,20,45,2.25,20
2025-01-07,24,60,2.50,24
2025-01-08,20,52,2.60,20
2025-01-09,23,59,2.57,23
2025-01-10,21,53,2.52,21
2025-01-11,21,46,2.19,21
2025-01-12,25,63,2.52,25
2025-01-13,20,50,2.50,20
2025-01-14,22,55,2.50,22
2025-01-15,21,51,2.43,21
2025-01-16,25,63,2.52,25
2025-01-17,24,70,2.92,24
2025-01-18,21,52,2.48,21
2025-01-19,25,67,2.68,25
2025-01-20,23,60,2.61,23
2025-01-21,25,62,2.48,25
2025-01-22,25,64,2.56,25
2025-01-23,24,52,2.17,24
2025-01-24,24,71,2.96,24
2025-01-25,21,58,2.76,21
2025-01-26,23,56,2.43,23
2025-01-27,24,56,2.33,24
2025-01-28,25,63,2.52,25
2025-01-29,21,52,2.48,21
2025-01-30,24,61,2.54,24
2025-01-31,20,49,2.45,20
2025-02-01,21,56,2.67,21
2025-02-02,21,61,2.90,21
2025-02-03,24,65,2.71,24
2025-02-04,24,57,2.38,24
2025-02-05,21,61,2.90,21
2025-02-06,20,42,2.10,20
2025-02-07,22,55,2.50,22
2025-02-08,22,50,2.27,22
2025-02-09,23,64,2.78,23
2025-02-10,25,61,2.44,25
2025-02-11,21,51,2.43,21
2025-02-12,24,64,2.67,24
2025-02-13,23,52,2.26,23
2025-02-14,25,64,2.56,25
2025-02-15,20,43,2.15,20
2025-02-16,24,54,2.25,24
2025-02-17,25,58,2.32,25
2025-02-18,21,51,2.43,21
2025-02-19,24,59,2.46,24
2025-02-20,24,60,2.50,24
2025-02-21,21,63,3.00,21
2025-02-22,24,58,2.42,24
2025-02-23,20,52,2.60,20
2025-02-24,25,56,2.24,25
2025-02-25,25,63,2.52,25
2025-02-26,23,53,2.30,23
2025-02-27,22,46,2.09,22
2025-02-28,20,53,2.65,20
2025-03-01,24,64,2.67,24
2025-03-02,25,61,2.44,25
2025-03-03,21,46,2.19,21
2025-03-04,21,55,2.62,21
2025-03-05,22,51,2.32,22
2025-03-06,22,56,2.55,22
2025-03-07,24,52,2.17,24
2025-03-08,25,66,2.64,25
2025-03-09,24,63,2.63,24
2025-03-10,21,50,2.38,21
2025-03-11,24,55,2.29,24
2025-03-12,23,68,2.96,23
2025-03-13,21,57,2.71,21
2025-03-14,23,55,2.39,23
2025-03-15,25,54,2.16,25
2025-03-16,20,45,2.25,20
2025-03-17,24,60,2.50,24
2025-03-18,20,48,2.40,20
2025-03-19,21,53,2.52,21
2025-03-20,24,59,2.46,24
2025-03-21,24,59,2.46,24
2025-03-22,22,53,2.41,22
2025-03-23,22,57,2.59,22
2025-03-24,25,67,2.68,25
2025-03-25,22,64,2.91,22
2025-03-26,20,47,2.35,20
2025-03-27,21,53,2.52,21
2025-03-28,21,64,3.05,21
2025-03-29,21,53,2.52,21
2025-03-30,22,53,2.41,22
2025-03-31,23,63,2.74,23
2025-04-01,25,58,2.32,25
2025-04-02,24,59,2.46,24
2025-04-03,23,53,2.30,23
2025-04-04,21,61,2.90,21
2025-04-05,25,65,2.60,25
2025-04-06,20,50,2.50,20
2025-04-07,21,45,2.14,21
2025-04-08,20,48,2.40,20
2025-04-09,22,61,2.77,22
2025-04-10,24,50,2.08,24
2025-04-11,20,49,2.45,20
2025-04-12,21,56,2.67,21
2025-04-13,21,57,2.71,21
2025-04-14,21,54,2.57,21
2025-04-15,25,64,2.56,25
2025-04-16,22,52,2.36,22
2025-04-17,21,51,2.43,21
2025-04-18,23,55,2.39,23
2025-04-19,21,53,2.52,21
2025-04-20,21,52,2.48,21
2025-04-21,22,55,2.50,22
2025-04-22,21,46,2.19,21
2025-04-23,21,45,2.14,21
2025-04-24,21,47,2.24,21
2025-04-25,24,64,2.67,24
2025-04-26,22,59,2.68,22
2025-04-27,21,53,2.52,21
2025-04-28,23,50,2.17,23
2025-04-29,21,59,2.81,21
2025-04-30,20,40,2.00,20
2025-05-01,23,58,2.52,23
2025-05-02,20,48,2.40,20
2025-05-03,21,59,2.81,21
2025-05-04,20,50,2.50,20
2025-05-05,23,66,2.87,23
2025-05-06,20,51,2.55,20
2025-05-07,21,51,2.43,21
2025-05-08,21,51,2.43,21
2025-05-09,21,50,2.38,21
2025-05-10,20,49,2.45,20
2025-05-11,21,58,2.76,21
2025-05-12,23,59,2.57,23
2025-05-13,25,63,2.52,25
2025-05-14,23,61,2.65,23
