order_date,revenue,prev_revenue,revenue_change,growth_rate
2023-04-06,4253.8760,3655.8840,597.9920,0.16356974
2023-04-07,3320.9500,4253.8760,-932.9260,-0.21931199
2023-04-08,3985.3950,3320.9500,664.4450,0.20007679
2023-04-09,2848.7410,3985.3950,-1136.6540,-0.28520485
2023-04-10,3041.5550,2848.7410,192.8140,0.06768393
2023-04-11,3647.3840,3041.5550,605.8290,0.19918397
2023-04-12,2918.5260,3647.3840,-728.8580,-0.19983034
2023-04-13,2612.5770,2918.5260,-305.9490,-0.10482997
2023-04-14,3640.2100,2612.5770,1027.6330,0.39334075
2023-04-15,4775.0110,3640.2100,1134.8010,0.31174053
2023-04-16,3173.9170,4775.0110,-1601.0940,-0.33530687
2023-04-17,3354.9840,3173.9170,181.0670,0.05704844
2023-04-18,4028.5070,3354.9840,673.5230,0.20075297
2023-04-19,2717.2460,4028.5070,-1311.2610,-0.32549552
2023-04-20,2948.1740,2717.2460,230.9280,0.08498605
2023-04-21,3683.8150,2948.1740,735.6410,0.24952428
2023-04-22,3059.5580,3683.8150,-624.2570,-0.16945938
2023-04-23,3661.0520,3059.5580,601.4940,0.19659506
2023-04-24,2822.5440,3661.0520,-838.5080,-0.22903471
2023-04-25,3701.6650,2822.5440,879.1210,0.31146406
2023-04-26,3211.3850,3701.6650,-490.2800,-0.13244851
2023-04-27,3738.3170,3211.3850,526.9320,0.16408248
2023-04-28,2688.1250,3738.3170,-1050.1920,-0.28092642
2023-04-29,3113.1420,2688.1250,425.0170,0.15810909
2023-04-30,3043.1700,3113.1420,-69.9720,-0.02247633
2023-05-01,3586.7790,3043.1700,543.6090,0.17863248
2023-05-02,2167.5000,3586.7790,-1419.2790,-0.39569737
2023-05-03,3161.6090,2167.5000,994.1090,0.45864314
2023-05-04,3026.2040,3161.6090,-135.4050,-0.04282788
2023-05-05,3979.9720,3026.2040,953.7680,0.31516976
2023-05-06,3036.9310,3979.9720,-943.0410,-0.23694664
2023-05-07,3887.0840,3036.9310,850.1530,0.27993820
2023-05-08,2936.2400,3887.0840,-950.8440,-0.24461627
2023-05-09,2986.5600,2936.2400,50.3200,0.01713756
2023-05-10,3721.8270,2986.5600,735.2670,0.24619194
2023-05-11,3191.9030,3721.8270,-529.9240,-0.14238276
2023-05-12,2936.8860,3191.9030,-255.0170,-0.07989497
2023-05-13,3705.7110,2936.8860,768.8250,0.26178238
2023-05-14,3818.8460,3705.7110,113.1350,0.03052990
2023-05-15,2962.5050,3818.8460,-856.3410,-0.22424078
2023-05-16,3111.1190,2962.5050,148.6140,0.05016498
2023-05-17,2389.1120,3111.1190,-722.0070,-0.23207309
2023-05-18,3053.3190,2389.1120,664.2070,0.27801417
2023-05-19,2656.7600,3053.3190,-396.5590,-0.12987801
2023-05-20,3273.4690,2656.7600,616.7090,0.23212823
2023-05-21,3546.4040,3273.4690,272.9350,0.08337791
2023-05-22,2881.7720,3546.4040,-664.6320,-0.18741012
2023-05-23,2756.8390,2881.7720,-124.9330,-0.04335284
2023-05-24,3579.4690,2756.8390,822.6300,0.29839610
2023-05-25,3380.3480,3579.4690,-199.1210,-0.05562864
2023-05-26,3092.7080,3380.3480,-287.6400,-0.08509183
2023-05-27,2871.5550,3092.7080,-221.1530,-0.07150788
2023-05-28,3403.5360,2871.5550,531.9810,0.18525886
2023-05-29,3002.6590,3403.5360,-400.8770,-0.11778251
2023-05-30,3481.3790,3002.6590,478.7200,0.15943202
2023-05-31,3560.7860,3481.3790,79.4070,0.02280907
2023-06-01,3218.2700,3560.7860,-342.5160,-0.09619112
2023-06-02,3380.6370,3218.2700,162.3670,0.05045164
2023-06-03,3716.7950,3380.6370,336.1580,0.09943629
2023-06-04,3362.7870,3716.7950,-354.0080,-0.09524550
2023-06-05,3261.9600,3362.7870,-100.8270,-0.02998317
2023-06-06,2248.8790,3261.9600,-1013.0810,-0.31057432
2023-06-07,4451.2290,2248.8790,2202.3500,0.97931014
2023-06-08,2973.9800,4451.2290,-1477.2490,-0.33187441
2023-06-09,3255.0580,2973.9800,281.0780,0.09451240
2023-06-10,3260.9910,3255.0580,5.9330,0.00182270
2023-06-11,2863.4800,3260.9910,-397.5110,-0.12189883
2023-06-12,3758.7680,2863.4800,895.2880,0.31265733
2023-06-13,3457.6470,3758.7680,-301.1210,-0.08011162
2023-06-14,3205.4520,3457.6470,-252.1950,-0.07293833
2023-06-15,3698.7410,3205.4520,493.2890,0.15389062
2023-06-16,3569.3030,3698.7410,-129.4380,-0.03499515
2023-06-17,2690.0460,3569.3030,-879.2570,-0.24633857
2023-06-18,2564.1610,2690.0460,-125.8850,-0.04679660
2023-06-19,3725.5500,2564.1610,1161.3890,0.45293139
2023-06-20,2905.5210,3725.5500,-820.0290,-0.22010951
2023-06-21,3234.1990,2905.5210,328.6780,0.11312188
2023-06-22,3418.5130,3234.1990,184.3140,0.05698907
2023-06-23,3329.0590,3418.5130,-89.4540,-0.02616752
2023-06-24,3411.0670,3329.0590,82.0080,0.02463399
2023-06-25,3269.5080,3411.0670,-141.5590,-0.04149992
2023-06-26,4074.0670,3269.5080,804.5590,0.24607953
2023-06-27,2949.2280,4074.0670,-1124.8390,-0.27609732
2023-06-28,3375.9620,2949.2280,426.7340,0.14469346
2023-06-29,3270.2050,3375.9620,-105.7570,-0.03132648
2023-06-30,3595.5680,3270.2050,325.3630,0.09949315
2023-07-01,3606.6180,3595.5680,11.0500,0.00307323
2023-07-02,3187.7380,3606.6180,-418.8800,-0.11614205
2023-07-03,2745.5850,3187.7380,-442.1530,-0.13870431
2023-07-04,3089.2740,2745.5850,343.6890,0.12517879
2023-07-05,3346.6880,3089.2740,257.4140,0.08332508
2023-07-06,3332.2040,3346.6880,-14.4840,-0.00432786
2023-07-07,3215.1420,3332.2040,-117.0620,-0.03513050
2023-07-08,3541.7800,3215.1420,326.6380,0.10159365
2023-07-09,4243.7100,3541.7800,701.9300,0.19818566
2023-07-10,3532.4300,4243.7100,-711.2800,-0.16760806
2023-07-11,4497.8600,3532.4300,965.4300,0.27330478
2023-07-12,4061.7590,4497.8600,-436.1010,-0.09695744
2023-07-13,3905.7840,4061.7590,-155.9750,-0.03840085
2023-07-14,3675.4170,3905.7840,-230.3670,-0.05898099
2023-07-15,2739.9580,3675.4170,-935.4590,-0.25451779
2023-07-16,3156.0500,2739.9580,416.0920,0.15186072
2023-07-17,2901.7810,3156.0500,-254.2690,-0.08056558
2023-07-18,3408.5680,2901.7810,506.7870,0.17464688
2023-07-19,3528.1630,3408.5680,119.5950,0.03508658
2023-07-20,4267.7480,3528.1630,739.5850,0.20962325
2023-07-21,3623.0060,4267.7480,-644.7420,-0.15107312
2023-07-22,4244.4580,3623.0060,621.4520,0.17152939
2023-07-23,3931.0800,4244.4580,-313.3780,-0.07383228
2023-07-24,2805.1360,3931.0800,-1125.9440,-0.28642103
2023-07-25,3356.7860,2805.1360,551.6500,0.19665713
2023-07-26,3558.9670,3356.7860,202.1810,0.06023053
2023-07-27,3740.6970,3558.9670,181.7300,0.05106257
2023-07-28,2319.5310,3740.6970,-1421.1660,-0.37992011
2023-07-29,4288.7770,2319.5310,1969.2460,0.84898456
2023-07-30,2768.8920,4288.7770,-1519.8850,-0.35438658
2023-07-31,3825.0850,2768.8920,1056.1930,0.38144969
2023-08-01,2829.2250,3825.0850,-995.8600,-0.26034977
2023-08-02,3375.3330,2829.2250,546.1080,0.19302388
2023-08-03,3624.2470,3375.3330,248.9140,0.07374502
2023-08-04,3666.9340,3624.2470,42.6870,0.01177817
2023-08-05,3210.3310,3666.9340,-456.6030,-0.12451901
2023-08-06,3862.4000,3210.3310,652.0690,0.20311582
2023-08-07,3231.5640,3862.4000,-630.8360,-0.16332746
2023-08-08,3219.6470,3231.5640,-11.9170,-0.00368769
2023-08-09,4493.9330,3219.6470,1274.2860,0.39578438
2023-08-10,3018.6050,4493.9330,-1475.3280,-0.32829328
2023-08-11,2046.9700,3018.6050,-971.6350,-0.32188213
2023-08-12,4479.8570,2046.9700,2432.8870,1.18853085
2023-08-13,2972.9090,4479.8570,-1506.9480,-0.33638306
2023-08-14,3517.2150,2972.9090,544.3060,0.18308869
2023-08-15,2705.2610,3517.2150,-811.9540,-0.23085140
2023-08-16,3332.0340,2705.2610,626.7730,0.23168670
2023-08-17,2748.3050,3332.0340,-583.7290,-0.17518699
2023-08-18,2910.9780,2748.3050,162.6730,0.05919030
2023-08-19,2828.5960,2910.9780,-82.3820,-0.02830045
2023-08-20,3613.8940,2828.5960,785.2980,0.27762819
2023-08-21,2724.7090,3613.8940,-889.1850,-0.24604623
2023-08-22,3643.2700,2724.7090,918.5610,0.33712261
2023-08-23,2982.7690,3643.2700,-660.5010,-0.18129345
2023-08-24,3385.5670,2982.7690,402.7980,0.13504163
2023-08-25,3004.2910,3385.5670,-381.2760,-0.11261806
2023-08-26,2620.8560,3004.2910,-383.4350,-0.12762911
2023-08-27,2594.7780,2620.8560,-26.0780,-0.00995018
2023-08-28,3769.1210,2594.7780,1174.3430,0.45257937
2023-08-29,2695.1120,3769.1210,-1074.0090,-0.28494946
2023-08-30,4187.0660,2695.1120,1491.9540,0.55357774
2023-08-31,3446.4780,4187.0660,-740.5880,-0.17687517
2023-09-01,2915.8400,3446.4780,-530.6380,-0.15396529
2023-09-02,3630.9790,2915.8400,715.1390,0.24526003
2023-09-03,2760.3240,3630.9790,-870.6550,-0.23978519
2023-09-04,3217.2500,2760.3240,456.9260,0.16553347
2023-09-05,2814.9450,3217.2500,-402.3050,-0.12504624
2023-09-06,3477.9620,2814.9450,663.0170,0.23553462
2023-09-07,5191.0350,3477.9620,1713.0730,0.49255081
2023-09-08,3564.9170,5191.0350,-1626.1180,-0.31325506
2023-09-09,3964.2300,3564.9170,399.3130,0.11201186
2023-09-10,2639.7940,3964.2300,-1324.4360,-0.33409666
2023-09-11,2837.6910,2639.7940,197.8970,0.07496683
2023-09-12,3653.2660,2837.6910,815.5750,0.28740797
2023-09-13,2860.6750,3653.2660,-792.5910,-0.21695409
2023-09-14,2252.2620,2860.6750,-608.4130,-0.21268162
2023-09-15,2948.9730,2252.2620,696.7110,0.30933835
2023-09-16,3241.4070,2948.9730,292.4340,0.09916469
2023-09-17,3299.2750,3241.4070,57.8680,0.01785274
2023-09-18,3597.2170,3299.2750,297.9420,0.09030529
2023-09-19,2691.6100,3597.2170,-905.6070,-0.25175212
2023-09-20,3690.5640,2691.6100,998.9540,0.37113623
2023-09-21,3541.8140,3690.5640,-148.7500,-0.04030549
2023-09-22,2603.2100,3541.8140,-938.6040,-0.26500658
2023-09-23,2412.0620,2603.2100,-191.1480,-0.07342781
2023-09-24,4130.0140,2412.0620,1717.9520,0.71223377
2023-09-25,3111.7140,4130.0140,-1018.3000,-0.24656091
2023-09-26,3691.6520,3111.7140,579.9380,0.18637253
2023-09-27,2811.5620,3691.6520,-880.0900,-0.23840004
2023-09-28,3154.6730,2811.5620,343.1110,0.12203572
2023-09-29,2996.5390,3154.6730,-158.1340,-0.05012691
2023-09-30,4043.8750,2996.5390,1047.3360,0.34951522
2023-10-01,3636.2320,4043.8750,-407.6430,-0.10080504
2023-10-02,4009.0760,3636.2320,372.8440,0.10253581
2023-10-03,2711.9420,4009.0760,-1297.1340,-0.32354937
2023-10-04,3073.0730,2711.9420,361.1310,0.13316325
2023-10-05,3620.8470,3073.0730,547.7740,0.17824959
2023-10-06,2881.0920,3620.8470,-739.7550,-0.20430441
2023-10-07,3970.7750,2881.0920,1089.6830,0.37821874
2023-10-08,3608.8790,3970.7750,-361.8960,-0.09113989
2023-10-09,3626.6270,3608.8790,17.7480,0.00491787
2023-10-10,2817.3420,3626.6270,-809.2850,-0.22315088
2023-10-11,3276.0870,2817.3420,458.7450,0.16282901
2023-10-12,3424.3100,3276.0870,148.2230,0.04524391
2023-10-13,2878.5420,3424.3100,-545.7680,-0.15938043
2023-10-14,3394.0840,2878.5420,515.5420,0.17909831
2023-10-15,3049.1540,3394.0840,-344.9300,-0.10162683
2023-10-16,3107.9740,3049.1540,58.8200,0.01929060
2023-10-17,4096.5750,3107.9740,988.6010,0.31808535
2023-10-18,5152.7340,4096.5750,1056.1590,0.25781513
2023-10-19,3115.7090,5152.7340,-2037.0250,-0.39532897
2023-10-20,3184.3380,3115.7090,68.6290,0.02202677
2023-10-21,2750.0050,3184.3380,-434.3330,-0.13639664
2023-10-22,3359.6080,2750.0050,609.6030,0.22167342
2023-10-23,3285.4200,3359.6080,-74.1880,-0.02208234
2023-10-24,3176.9940,3285.4200,-108.4260,-0.03300217
2023-10-25,2890.1870,3176.9940,-286.8070,-0.09027622
2023-10-26,2957.6600,2890.1870,67.4730,0.02334555
2023-10-27,3244.7220,2957.6600,287.0620,0.09705713
2023-10-28,1975.4510,3244.7220,-1269.2710,-0.39118020
2023-10-29,3261.5350,1975.4510,1286.0840,0.65103311
2023-10-30,4020.0750,3261.5350,758.5400,0.23257147
2023-10-31,3367.7510,4020.0750,-652.3240,-0.16226662
2023-11-01,4400.8580,3367.7510,1033.1070,0.30676466
2023-11-02,2766.1380,4400.8580,-1634.7200,-0.37145484
2023-11-03,2861.0320,2766.1380,94.8940,0.03430559
2023-11-04,2757.1450,2861.0320,-103.8870,-0.03631102
2023-11-05,3213.2380,2757.1450,456.0930,0.16542220
2023-11-06,2993.8870,3213.2380,-219.3510,-0.06826478
2023-11-07,3446.7500,2993.8870,452.8630,0.15126256
2023-11-08,3204.5000,3446.7500,-242.2500,-0.07028360
2023-11-09,2255.6960,3204.5000,-948.8040,-0.29608488
2023-11-10,2587.7400,2255.6960,332.0440,0.14720246
2023-11-11,3409.7750,2587.7400,822.0350,0.31766522
2023-11-12,3699.7270,3409.7750,289.9520,0.08503552
2023-11-13,2396.7960,3699.7270,-1302.9310,-0.35216950
2023-11-14,3365.3200,2396.7960,968.5240,0.40409113
2023-11-15,2892.8220,3365.3200,-472.4980,-0.14040210
2023-11-16,3153.1430,2892.8220,260.3210,0.08998860
2023-11-17,3224.3730,3153.1430,71.2300,0.02259016
2023-11-18,2888.7250,3224.3730,-335.6480,-0.10409714
2023-11-19,3155.2170,2888.7250,266.4920,0.09225246
2023-11-20,3740.6290,3155.2170,585.4120,0.18553779
2023-11-21,3494.2310,3740.6290,-246.3980,-0.06587074
2023-11-22,3162.5100,3494.2310,-331.7210,-0.09493391
2023-11-23,2526.8290,3162.5100,-635.6810,-0.20100521
2023-11-24,3105.8660,2526.8290,579.0370,0.22915559
2023-11-25,3277.7700,3105.8660,171.9040,0.05534817
2023-11-26,2820.8440,3277.7700,-456.9260,-0.13940148
2023-11-27,3594.5650,2820.8440,773.7210,0.27428706
2023-11-28,3338.3580,3594.5650,-256.2070,-0.07127622
2023-11-29,3758.7000,3338.3580,420.3420,0.12591280
2023-11-30,2967.0100,3758.7000,-791.6900,-0.21062867
2023-12-01,3435.8020,2967.0100,468.7920,0.15800149
2023-12-02,3282.2920,3435.8020,-153.5100,-0.04467952
2023-12-03,3699.8800,3282.2920,417.5880,0.12722451
2023-12-04,3862.6040,3699.8800,162.7240,0.04398089
2023-12-05,3696.6670,3862.6040,-165.9370,-0.04295988
2023-12-06,3638.1700,3696.6670,-58.4970,-0.01582425
2023-12-07,3800.4010,3638.1700,162.2310,0.04459137
2023-12-08,3270.9530,3800.4010,-529.4480,-0.13931372
2023-12-09,3832.2760,3270.9530,561.3230,0.17160840
2023-12-10,3237.4800,3832.2760,-594.7960,-0.15520698
2023-12-11,3616.0700,3237.4800,378.5900,0.11693972
2023-12-12,3337.9160,3616.0700,-278.1540,-0.07692163
2023-12-13,2544.5430,3337.9160,-793.3730,-0.23768513
2023-12-14,2506.4630,2544.5430,-38.0800,-0.01496536
2023-12-15,3376.3360,2506.4630,869.8730,0.34705200
2023-12-16,3677.1170,3376.3360,300.7810,0.08908503
2023-12-17,2900.5740,3677.1170,-776.5430,-0.21118257
2023-12-18,3906.3450,2900.5740,1005.7710,0.34674895
2023-12-19,3835.7780,3906.3450,-70.5670,-0.01806471
2023-12-20,2813.8740,3835.7780,-1021.9040,-0.26641375
2023-12-21,3143.5890,2813.8740,329.7150,0.11717476
2023-12-22,3371.0660,3143.5890,227.4770,0.07236219
2023-12-23,2847.0580,3371.0660,-524.0080,-0.15544282
2023-12-24,3530.9000,2847.0580,683.8420,0.24019251
2023-12-25,3511.4180,3530.9000,-19.4820,-0.00551757
2023-12-26,4193.9850,3511.4180,682.5670,0.19438500
2023-12-27,3055.9200,4193.9850,-1138.0650,-0.27135648
2023-12-28,3036.4890,3055.9200,-19.4310,-0.00635848
2023-12-29,3797.5620,3036.4890,761.0730,0.25064244
2023-12-30,3268.6070,3797.5620,-528.9550,-0.13928805
2023-12-31,3541.0320,3268.6070,272.4250,0.08334590
2024-01-01,3397.4160,3541.0320,-143.6160,-0.04055767
2024-01-02,2892.8900,3397.4160,-504.5260,-0.14850286
2024-01-03,3501.2690,2892.8900,608.3790,0.21030146
2024-01-04,2864.9420,3501.2690,-636.3270,-0.18174182
2024-01-05,3186.9390,2864.9420,321.9970,0.11239215
2024-01-06,3548.1720,3186.9390,361.2330,0.11334795
2024-01-07,3547.8490,3548.1720,-0.3230,-0.00009103
2024-01-08,3874.3000,3547.8490,326.4510,0.09201378
2024-01-09,3067.9050,3874.3000,-806.3950,-0.20813953
2024-01-10,3901.4150,3067.9050,833.5100,0.27168703
2024-01-11,3268.2500,3901.4150,-633.1650,-0.16229112
2024-01-12,2899.6560,3268.2500,-368.5940,-0.11278023
2024-01-13,4043.1950,2899.6560,1143.5390,0.39437057
2024-01-14,3380.6540,4043.1950,-662.5410,-0.16386571
2024-01-15,2026.5190,3380.6540,-1354.1350,-0.40055415
2024-01-16,3566.6680,2026.5190,1540.1490,0.75999732
2024-01-17,3198.1590,3566.6680,-368.5090,-0.10332024
2024-01-18,4107.2170,3198.1590,909.0580,0.28424415
2024-01-19,3752.9370,4107.2170,-354.2800,-0.08625792
2024-01-20,3525.6810,3752.9370,-227.2560,-0.06055417
2024-01-21,4062.6430,3525.6810,536.9620,0.15230022
2024-01-22,2810.2360,4062.6430,-1252.4070,-0.30827395
2024-01-23,2944.7740,2810.2360,134.5380,0.04787427
2024-01-24,2928.4880,2944.7740,-16.2860,-0.00553048
2024-01-25,4221.7290,2928.4880,1293.2410,0.44160707
2024-01-26,2867.5770,4221.7290,-1354.1520,-0.32075768
2024-01-27,3903.2850,2867.5770,1035.7080,0.36117879
2024-01-28,3676.1650,3903.2850,-227.1200,-0.05818689
2024-01-29,3360.2710,3676.1650,-315.8940,-0.08593031
2024-01-30,3467.8810,3360.2710,107.6100,0.03202420
2024-01-31,2977.0740,3467.8810,-490.8070,-0.14152937
2024-02-01,2784.1580,2977.0740,-192.9160,-0.06480054
2024-02-02,3939.7160,2784.1580,1155.5580,0.41504757
2024-02-03,2845.0180,3939.7160,-1094.6980,-0.27786216
2024-02-04,2926.3800,2845.0180,81.3620,0.02859806
2024-02-05,3773.8130,2926.3800,847.4330,0.28958406
2024-02-06,3933.4940,3773.8130,159.6810,0.04231291
2024-02-07,2713.5060,3933.4940,-1219.9880,-0.31015377
2024-02-08,3335.9440,2713.5060,622.4380,0.22938516
2024-02-09,3406.8000,3335.9440,70.8560,0.02124016
2024-02-10,3467.4390,3406.8000,60.6390,0.01779940
2024-02-11,2677.3470,3467.4390,-790.0920,-0.22786039
2024-02-12,2490.6190,2677.3470,-186.7280,-0.06974367
2024-02-13,3391.0070,2490.6190,900.3880,0.36151174
2024-02-14,3813.7630,3391.0070,422.7560,0.12466975
2024-02-15,4671.1070,3813.7630,857.3440,0.22480264
2024-02-16,3841.6600,4671.1070,-829.4470,-0.17756969
2024-02-17,3892.7620,3841.6600,51.1020,0.01330206
2024-02-18,4063.6290,3892.7620,170.8670,0.04389351
2024-02-19,3458.6500,4063.6290,-604.9790,-0.14887653
2024-02-20,3155.5400,3458.6500,-303.1100,-0.08763824
2024-02-21,3294.6510,3155.5400,139.1110,0.04408469
2024-02-22,3596.9960,3294.6510,302.3450,0.09176845
2024-02-23,3445.4070,3596.9960,-151.5890,-0.04214322
2024-02-24,2833.4920,3445.4070,-611.9150,-0.17760311
2024-02-25,1610.8350,2833.4920,-1222.6570,-0.43150184
2024-02-26,2786.8100,1610.8350,1175.9750,0.73004063
2024-02-27,3480.9370,2786.8100,694.1270,0.24907583
2024-02-28,3253.1880,3480.9370,-227.7490,-0.06542750
2024-02-29,3397.7390,3253.1880,144.5510,0.04443364
2024-03-01,2966.0920,3397.7390,-431.6470,-0.12703948
2024-03-02,4745.7710,2966.0920,1779.6790,0.60000802
2024-03-03,2975.2040,4745.7710,-1770.5670,-0.37308311
2024-03-04,2746.2990,2975.2040,-228.9050,-0.07693758
2024-03-05,4134.3490,2746.2990,1388.0500,0.50542567
2024-03-06,4531.5200,4134.3490,397.1710,0.09606615
2024-03-07,3385.2780,4531.5200,-1146.2420,-0.25294868
2024-03-08,3552.2690,3385.2780,166.9910,0.04932859
2024-03-09,3837.2910,3552.2690,285.0220,0.08023660
2024-03-10,2808.0770,3837.2910,-1029.2140,-0.26821370
2024-03-11,3467.3710,2808.0770,659.2940,0.23478487
2024-03-12,3401.0370,3467.3710,-66.3340,-0.01913092
2024-03-13,4130.7280,3401.0370,729.6910,0.21454956
2024-03-14,3055.2570,4130.7280,-1075.4710,-0.26035871
2024-03-15,3099.2530,3055.2570,43.9960,0.01440010
2024-03-16,2978.7570,3099.2530,-120.4960,-0.03887905
2024-03-17,2546.5320,2978.7570,-432.2250,-0.14510247
2024-03-18,2652.7140,2546.5320,106.1820,0.04169671
2024-03-19,3016.1740,2652.7140,363.4600,0.13701439
2024-03-20,3213.3740,3016.1740,197.2000,0.06538084
2024-03-21,3665.3700,3213.3740,451.9960,0.14066088
2024-03-22,3914.1310,3665.3700,248.7610,0.06786791
2024-03-23,3515.0050,3914.1310,-399.1260,-0.10197053
2024-03-24,3737.3820,3515.0050,222.3770,0.06326506
2024-03-25,3579.5710,3737.3820,-157.8110,-0.04222501
2024-03-26,4551.1720,3579.5710,971.6010,0.27142945
2024-03-27,2750.9570,4551.1720,-1800.2150,-0.39554976
2024-03-28,3426.5880,2750.9570,675.6310,0.24559853
2024-03-29,3571.8020,3426.5880,145.2140,0.04237860
2024-03-30,3950.0010,3571.8020,378.1990,0.10588465
2024-03-31,3053.2850,3950.0010,-896.7160,-0.22701665
2024-04-01,2964.2900,3053.2850,-88.9950,-0.02914730
2024-04-02,3127.0650,2964.2900,162.7750,0.05491197
2024-04-03,4311.5740,3127.0650,1184.5090,0.37879257
2024-04-04,3381.4870,4311.5740,-930.0870,-0.21571867
2024-04-05,2519.1280,3381.4870,-862.3590,-0.25502360
2024-04-06,3855.6170,2519.1280,1336.4890,0.53053636
2024-04-07,2818.9570,3855.6170,-1036.6600,-0.26887007
2024-04-08,2687.3260,2818.9570,-131.6310,-0.04669493
2024-04-09,2843.6240,2687.3260,156.2980,0.05816116
2024-04-10,3743.8930,2843.6240,900.2690,0.31659214
2024-04-11,2812.2080,3743.8930,-931.6850,-0.24885460
2024-04-12,3640.0570,2812.2080,827.8490,0.29437687
2024-04-13,2528.4780,3640.0570,-1111.5790,-0.30537406
2024-04-14,3370.5050,2528.4780,842.0270,0.33301733
2024-04-15,3295.6540,3370.5050,-74.8510,-0.02220765
2024-04-16,2978.0940,3295.6540,-317.5600,-0.09635720
2024-04-17,3495.1660,2978.0940,517.0720,0.17362514
2024-04-18,3045.6520,3495.1660,-449.5140,-0.12861020
2024-04-19,3345.0730,3045.6520,299.4210,0.09831097
2024-04-20,3315.3060,3345.0730,-29.7670,-0.00889876
2024-04-21,3377.8490,3315.3060,62.5430,0.01886493
2024-04-22,3016.0890,3377.8490,-361.7600,-0.10709774
2024-04-23,2771.3740,3016.0890,-244.7150,-0.08113653
2024-04-24,4220.6240,2771.3740,1449.2500,0.52293555
2024-04-25,3059.8470,4220.6240,-1160.7770,-0.27502497
2024-04-26,4069.8170,3059.8470,1009.9700,0.33007206
2024-04-27,2911.9640,4069.8170,-1157.8530,-0.28449756
2024-04-28,3626.9840,2911.9640,715.0200,0.24554562
2024-04-29,3097.8590,3626.9840,-529.1250,-0.14588567
2024-04-30,3219.9530,3097.8590,122.0940,0.03941238
2024-05-01,3167.5080,3219.9530,-52.4450,-0.01628750
2024-05-02,2451.2300,3167.5080,-716.2780,-0.22613297
2024-05-03,2549.5580,2451.2300,98.3280,0.04011374
2024-05-04,3204.0070,2549.5580,654.4490,0.25669116
2024-05-05,3330.3340,3204.0070,126.3270,0.03942782
2024-05-06,4106.0270,3330.3340,775.6930,0.23291748
2024-05-07,3311.7190,4106.0270,-794.3080,-0.19344929
2024-05-08,2623.7290,3311.7190,-687.9900,-0.20774407
