transaction_id,ing_id,transaction_date,transaction_type,change_qty,supplier_id,previous_receipt_date,order_burst_days
txn04026,ing001,2024-03-04,PURCHASE_ORDER,24,sup001,2024-02-28,5
txn04080,ing001,2024-03-09,PURCHASE_ORDER,37,sup001,2024-03-04,5
txn04131,ing001,2024-03-14,PURCHASE_ORDER,32,sup005,2024-03-09,5
txn04167,ing001,2024-03-17,PURCHASE_ORDER,15,sup001,2024-03-16,1
txn04216,ing001,2024-03-22,PURCHASE_ORDER,30,sup001,2024-03-16,6
txn04271,ing001,2024-03-27,PURCHASE_ORDER,29,sup005,2024-03-22,5
txn04306,ing001,2024-03-30,PURCHASE_ORDER,18,sup005,2024-03-29,1
txn04351,ing001,2024-04-03,PURCHASE_ORDER,24,sup005,2024-04-01,2
txn04382,ing001,2024-04-06,PURCHASE_ORDER,15,sup001,2024-04-05,1
txn04431,ing001,2024-04-11,PURCHASE_ORDER,22,sup005,2024-04-05,6
txn04467,ing001,2024-04-14,PURCHASE_ORDER,18,sup005,2024-04-13,1
txn04504,ing001,2024-04-18,PURCHASE_ORDER,17,sup001,2024-04-16,2
txn04552,ing001,2024-04-23,PURCHASE_ORDER,27,sup001,2024-04-16,7
txn04611,ing001,2024-04-28,PURCHASE_ORDER,33,sup002,2024-04-23,5
txn04647,ing001,2024-05-01,PURCHASE_ORDER,15,sup001,2024-04-28,3
txn04697,ing001,2024-05-06,PURCHASE_ORDER,25,sup001,2024-05-01,5
txn04745,ing001,2024-05-11,PURCHASE_ORDER,32,sup005,2024-05-06,5
txn04772,ing001,2024-05-14,PURCHASE_ORDER,15,sup001,2024-05-13,1
txn04838,ing001,2024-05-19,PURCHASE_ORDER,32,sup002,2024-05-13,6
txn04870,ing001,2024-05-23,PURCHASE_ORDER,18,sup001,2024-05-22,1
txn04923,ing001,2024-05-28,PURCHASE_ORDER,30,sup002,2024-05-22,6
txn04954,ing001,2024-05-31,PURCHASE_ORDER,16,sup002,2024-05-28,3
txn04984,ing001,2024-06-03,PURCHASE_ORDER,16,sup001,2024-05-31,3
txn05029,ing001,2024-06-08,PURCHASE_ORDER,28,sup005,2024-06-03,5
txn05059,ing001,2024-06-11,PURCHASE_ORDER,17,sup002,2024-06-10,1
txn05092,ing001,2024-06-14,PURCHASE_ORDER,15,sup005,2024-06-10,4
txn05113,ing001,2024-06-16,PURCHASE_ORDER,16,sup005,2024-06-14,2
txn05151,ing001,2024-06-19,PURCHASE_ORDER,16,sup005,2024-06-18,1
txn05188,ing001,2024-06-22,PURCHASE_ORDER,18,sup002,2024-06-21,1
txn05215,ing001,2024-06-25,PURCHASE_ORDER,19,sup001,2024-06-21,4
txn05255,ing001,2024-06-30,PURCHASE_ORDER,33,sup002,2024-06-25,5
txn05294,ing001,2024-07-04,PURCHASE_ORDER,19,sup002,2024-07-03,1
txn05333,ing001,2024-07-07,PURCHASE_ORDER,16,sup001,2024-07-03,4
txn05392,ing001,2024-07-12,PURCHASE_ORDER,24,sup001,2024-07-07,5
txn05436,ing001,2024-07-17,PURCHASE_ORDER,25,sup001,2024-07-12,5
txn05490,ing001,2024-07-22,PURCHASE_ORDER,28,sup002,2024-07-17,5
txn05525,ing001,2024-07-25,PURCHASE_ORDER,16,sup002,2024-07-22,3
txn05550,ing001,2024-07-28,PURCHASE_ORDER,17,sup001,2024-07-25,3
txn05595,ing001,2024-08-02,PURCHASE_ORDER,31,sup002,2024-07-28,5
txn05632,ing001,2024-08-05,PURCHASE_ORDER,16,sup005,2024-08-02,3
txn05661,ing001,2024-08-08,PURCHASE_ORDER,17,sup001,2024-08-07,1
txn05708,ing001,2024-08-13,PURCHASE_ORDER,24,sup001,2024-08-07,6
txn05763,ing001,2024-08-18,PURCHASE_ORDER,29,sup005,2024-08-13,5
txn05789,ing001,2024-08-20,PURCHASE_ORDER,18,sup005,2024-08-18,2
txn05823,ing001,2024-08-23,PURCHASE_ORDER,17,sup001,2024-08-22,1
txn05870,ing001,2024-08-28,PURCHASE_ORDER,29,sup005,2024-08-22,6
txn05907,ing001,2024-09-01,PURCHASE_ORDER,21,sup001,2024-08-30,2
txn05955,ing001,2024-09-06,PURCHASE_ORDER,23,sup005,2024-08-30,7
txn05983,ing001,2024-09-09,PURCHASE_ORDER,21,sup001,2024-09-08,1
txn06032,ing001,2024-09-14,PURCHASE_ORDER,28,sup005,2024-09-08,6
txn06066,ing001,2024-09-18,PURCHASE_ORDER,16,sup005,2024-09-16,2
txn06105,ing001,2024-09-22,PURCHASE_ORDER,19,sup002,2024-09-20,2
txn06136,ing001,2024-09-25,PURCHASE_ORDER,19,sup005,2024-09-20,5
txn06178,ing001,2024-09-29,PURCHASE_ORDER,19,sup001,2024-09-27,2
txn06229,ing001,2024-10-04,PURCHASE_ORDER,26,sup001,2024-09-27,7
txn06279,ing001,2024-10-09,PURCHASE_ORDER,24,sup005,2024-10-04,5
txn06313,ing001,2024-10-13,PURCHASE_ORDER,19,sup005,2024-10-11,2
txn06341,ing001,2024-10-16,PURCHASE_ORDER,17,sup001,2024-10-15,1
txn06401,ing001,2024-10-21,PURCHASE_ORDER,26,sup001,2024-10-15,6
txn06451,ing001,2024-10-26,PURCHASE_ORDER,28,sup005,2024-10-21,5
txn06483,ing001,2024-10-29,PURCHASE_ORDER,17,sup002,2024-10-28,1
txn06516,ing001,2024-11-02,PURCHASE_ORDER,18,sup001,2024-11-01,1
txn06567,ing001,2024-11-07,PURCHASE_ORDER,29,sup002,2024-11-01,6
txn06599,ing001,2024-11-10,PURCHASE_ORDER,17,sup002,2024-11-07,3
txn06631,ing001,2024-11-14,PURCHASE_ORDER,19,sup001,2024-11-13,1
txn06690,ing001,2024-11-19,PURCHASE_ORDER,25,sup002,2024-11-13,6
txn06717,ing001,2024-11-22,PURCHASE_ORDER,17,sup005,2024-11-19,3
txn06752,ing001,2024-11-26,PURCHASE_ORDER,19,sup005,2024-11-24,2
txn06785,ing001,2024-11-29,PURCHASE_ORDER,21,sup001,2024-11-28,1
txn06829,ing001,2024-12-04,PURCHASE_ORDER,24,sup001,2024-11-28,6
txn06880,ing001,2024-12-09,PURCHASE_ORDER,28,sup002,2024-12-04,5
txn06907,ing001,2024-12-12,PURCHASE_ORDER,17,sup001,2024-12-09,3
txn06958,ing001,2024-12-17,PURCHASE_ORDER,25,sup002,2024-12-12,5
txn06996,ing001,2024-12-21,PURCHASE_ORDER,19,sup001,2024-12-20,1
txn07045,ing001,2024-12-26,PURCHASE_ORDER,28,sup002,2024-12-20,6
txn07076,ing001,2024-12-29,PURCHASE_ORDER,17,sup001,2024-12-26,3
txn07137,ing001,2025-01-03,PURCHASE_ORDER,27,sup002,2024-12-29,5
txn07165,ing001,2025-01-06,PURCHASE_ORDER,16,sup001,2025-01-03,3
txn07212,ing001,2025-01-11,PURCHASE_ORDER,21,sup001,2025-01-06,5
txn07266,ing001,2025-01-16,PURCHASE_ORDER,33,sup002,2025-01-11,5
txn07296,ing001,2025-01-19,PURCHASE_ORDER,18,sup002,2025-01-16,3
txn07334,ing001,2025-01-22,PURCHASE_ORDER,16,sup002,2025-01-19,3
txn07372,ing001,2025-01-25,PURCHASE_ORDER,15,sup002,2025-01-22,3
txn07399,ing001,2025-01-28,PURCHASE_ORDER,17,sup005,2025-01-25,3
txn07427,ing001,2025-01-30,PURCHASE_ORDER,15,sup001,2025-01-28,2
txn07480,ing001,2025-02-04,PURCHASE_ORDER,33,sup001,2025-01-30,5
txn07528,ing001,2025-02-09,PURCHASE_ORDER,26,sup005,2025-02-04,5
txn07564,ing001,2025-02-12,PURCHASE_ORDER,16,sup001,2025-02-11,1
txn07611,ing001,2025-02-17,PURCHASE_ORDER,24,sup002,2025-02-11,6
txn07641,ing001,2025-02-20,PURCHASE_ORDER,21,sup005,2025-02-17,3
txn07681,ing001,2025-02-23,PURCHASE_ORDER,18,sup002,2025-02-22,1
txn07710,ing001,2025-02-26,PURCHASE_ORDER,20,sup005,2025-02-22,4
txn07741,ing001,2025-03-01,PURCHASE_ORDER,17,sup002,2025-02-28,1
txn07776,ing001,2025-03-04,PURCHASE_ORDER,18,sup001,2025-02-28,4
txn07822,ing001,2025-03-09,PURCHASE_ORDER,28,sup005,2025-03-04,5
txn07863,ing001,2025-03-12,PURCHASE_ORDER,19,sup005,2025-03-11,1
txn07896,ing001,2025-03-15,PURCHASE_ORDER,18,sup001,2025-03-14,1
txn07950,ing001,2025-03-20,PURCHASE_ORDER,31,sup005,2025-03-14,6
txn07988,ing001,2025-03-24,PURCHASE_ORDER,21,sup005,2025-03-22,2
txn08030,ing001,2025-03-27,PURCHASE_ORDER,16,sup001,2025-03-26,1
txn08083,ing001,2025-04-01,PURCHASE_ORDER,32,sup002,2025-03-26,6
txn08116,ing001,2025-04-04,PURCHASE_ORDER,18,sup002,2025-04-01,3
txn08161,ing001,2025-04-08,PURCHASE_ORDER,17,sup001,2025-04-07,1
txn08206,ing001,2025-04-13,PURCHASE_ORDER,29,sup001,2025-04-07,6
txn08251,ing001,2025-04-18,PURCHASE_ORDER,29,sup001,2025-04-13,5
txn08306,ing001,2025-04-23,PURCHASE_ORDER,25,sup001,2025-04-18,5
txn08353,ing001,2025-04-28,PURCHASE_ORDER,26,sup002,2025-04-23,5
txn08380,ing001,2025-05-01,PURCHASE_ORDER,17,sup002,2025-04-28,3
txn08415,ing001,2025-05-05,PURCHASE_ORDER,20,sup002,2025-05-04,1
txn08446,ing001,2025-05-08,PURCHASE_ORDER,15,sup005,2025-05-04,4
txn08482,ing001,2025-05-12,PURCHASE_ORDER,20,sup002,2025-05-10,2
txn08513,ing001,2025-05-15,PURCHASE_ORDER,18,sup001,2025-05-10,5
txn08566,ing001,2025-05-20,PURCHASE_ORDER,29,sup002,2025-05-15,5
txn08606,ing001,2025-05-24,PURCHASE_ORDER,17,sup005,2025-05-23,1
txn08635,ing001,2025-05-27,PURCHASE_ORDER,15,sup001,2025-05-26,1
txn08680,ing001,2025-06-01,PURCHASE_ORDER,27,sup001,2025-05-26,6
txn08738,ing001,2025-06-06,PURCHASE_ORDER,24,sup005,2025-06-01,5
txn08777,ing001,2025-06-09,PURCHASE_ORDER,17,sup002,2025-06-08,1
txn08800,ing001,2025-06-12,PURCHASE_ORDER,16,sup001,2025-06-08,4
txn08844,ing001,2025-06-17,PURCHASE_ORDER,23,sup002,2025-06-12,5
txn08883,ing001,2025-06-20,PURCHASE_ORDER,16,sup002,2025-06-17,3
txn08904,ing001,2025-06-23,PURCHASE_ORDER,19,sup001,2025-06-20,3
txn08954,ing001,2025-06-28,PURCHASE_ORDER,23,sup002,2025-06-23,5
txn08984,ing001,2025-07-01,PURCHASE_ORDER,17,sup002,2025-06-28,3
txn09011,ing001,2025-07-04,PURCHASE_ORDER,16,sup001,2025-07-01,3
txn09065,ing001,2025-07-09,PURCHASE_ORDER,30,sup005,2025-07-04,5
txn09093,ing001,2025-07-12,PURCHASE_ORDER,17,sup005,2025-07-11,1
txn09135,ing001,2025-07-16,PURCHASE_ORDER,19,sup005,2025-07-14,2
txn09170,ing001,2025-07-19,PURCHASE_ORDER,15,sup005,2025-07-18,1
txn09208,ing001,2025-07-22,PURCHASE_ORDER,20,sup002,2025-07-21,1
txn09244,ing001,2025-07-25,PURCHASE_ORDER,23,sup005,2025-07-21,4
txn09273,ing001,2025-07-28,PURCHASE_ORDER,16,sup001,2025-07-27,1
txn09317,ing001,2025-08-02,PURCHASE_ORDER,25,sup002,2025-07-27,6
txn09362,ing001,2025-08-06,PURCHASE_ORDER,21,sup001,2025-08-05,1
txn09414,ing001,2025-08-11,PURCHASE_ORDER,20,sup002,2025-08-05,6
txn09446,ing001,2025-08-14,PURCHASE_ORDER,15,sup001,2025-08-11,3
txn09507,ing001,2025-08-19,PURCHASE_ORDER,33,sup005,2025-08-14,5
txn09545,ing001,2025-08-22,PURCHASE_ORDER,19,sup005,2025-08-21,1
txn09575,ing001,2025-08-25,PURCHASE_ORDER,17,sup005,2025-08-24,1
txn09606,ing001,2025-08-28,PURCHASE_ORDER,21,sup002,2025-08-27,1
txn09647,ing001,2025-09-01,PURCHASE_ORDER,16,sup002,2025-08-31,1
txn09678,ing001,2025-09-04,PURCHASE_ORDER,19,sup005,2025-08-31,4
txn09718,ing001,2025-09-08,PURCHASE_ORDER,20,sup002,2025-09-06,2
txn09750,ing001,2025-09-11,PURCHASE_ORDER,15,sup002,2025-09-06,5
txn09773,ing001,2025-09-14,PURCHASE_ORDER,16,sup002,2025-09-11,3
txn09806,ing001,2025-09-17,PURCHASE_ORDER,21,sup002,2025-09-14,3
txn09847,ing001,2025-09-20,PURCHASE_ORDER,16,sup005,2025-09-17,3
txn09878,ing001,2025-09-23,PURCHASE_ORDER,18,sup001,2025-09-22,1
txn09923,ing001,2025-09-28,PURCHASE_ORDER,25,sup005,2025-09-22,6
txn09955,ing001,2025-10-01,PURCHASE_ORDER,18,sup001,2025-09-30,1
txn10014,ing001,2025-10-06,PURCHASE_ORDER,27,sup002,2025-09-30,6
txn10048,ing001,2025-10-10,PURCHASE_ORDER,18,sup005,2025-10-09,1
txn10086,ing001,2025-10-13,PURCHASE_ORDER,18,sup002,2025-10-12,1
txn10115,ing001,2025-10-16,PURCHASE_ORDER,17,sup005,2025-10-12,4
txn10142,ing001,2025-10-18,PURCHASE_ORDER,15,sup001,2025-10-16,2
txn10193,ing001,2025-10-23,PURCHASE_ORDER,19,sup001,2025-10-18,5
txn01160,ing002,2023-06-10,PURCHASE_ORDER,9,sup002,2023-04-18,53
txn01454,ing002,2023-07-08,PURCHASE_ORDER,9,sup002,2023-06-14,24
txn01652,ing002,2023-07-25,PURCHASE_ORDER,9,sup002,2023-07-12,13
txn01921,ing002,2023-08-20,PURCHASE_ORDER,9,sup002,2023-07-29,22
txn02367,ing002,2023-10-01,PURCHASE_ORDER,9,sup004,2023-08-24,38
txn02637,ing002,2023-10-25,PURCHASE_ORDER,9,sup002,2023-10-04,21
txn03136,ing002,2023-12-11,PURCHASE_ORDER,9,sup002,2023-10-29,43
txn03535,ing002,2024-01-18,PURCHASE_ORDER,9,sup002,2023-12-15,34
txn03918,ing002,2024-02-22,PURCHASE_ORDER,9,sup004,2024-01-22,31
txn04307,ing002,2024-03-30,PURCHASE_ORDER,9,sup002,2024-02-25,34
txn04704,ing002,2024-05-07,PURCHASE_ORDER,9,sup004,2024-04-03,34
txn04995,ing002,2024-06-04,PURCHASE_ORDER,9,sup004,2024-05-10,25
txn05304,ing002,2024-07-05,PURCHASE_ORDER,9,sup004,2024-06-07,28
txn05773,ing002,2024-08-19,PURCHASE_ORDER,9,sup004,2024-07-08,42
txn06461,ing002,2024-10-27,PURCHASE_ORDER,9,sup004,2024-08-22,66
txn06919,ing002,2024-12-13,PURCHASE_ORDER,9,sup002,2024-10-30,44
txn07247,ing002,2025-01-14,PURCHASE_ORDER,9,sup002,2024-12-17,28
txn07733,ing002,2025-02-28,PURCHASE_ORDER,9,sup002,2025-01-18,41
txn08194,ing002,2025-04-12,PURCHASE_ORDER,9,sup004,2025-03-04,39
txn08701,ing002,2025-06-03,PURCHASE_ORDER,9,sup002,2025-04-15,49
txn09209,ing002,2025-07-22,PURCHASE_ORDER,9,sup004,2025-06-07,45
txn09546,ing002,2025-08-22,PURCHASE_ORDER,9,sup004,2025-07-25,28
txn09856,ing002,2025-09-21,PURCHASE_ORDER,9,sup004,2025-08-25,27
txn00110,ing003,2023-03-02,PURCHASE_ORDER,6,sup003,2023-02-23,7
txn00189,ing003,2023-03-10,PURCHASE_ORDER,6,sup003,2023-03-04,6
txn00270,ing003,2023-03-18,PURCHASE_ORDER,6,sup003,2023-03-12,6
txn00335,ing003,2023-03-24,PURCHASE_ORDER,6,sup003,2023-03-20,4
txn00446,ing003,2023-04-03,PURCHASE_ORDER,6,sup003,2023-03-26,8
txn00518,ing003,2023-04-09,PURCHASE_ORDER,6,sup003,2023-04-05,4
txn00566,ing003,2023-04-14,PURCHASE_ORDER,6,sup003,2023-04-11,3
txn00608,ing003,2023-04-18,PURCHASE_ORDER,6,sup003,2023-04-16,2
txn00663,ing003,2023-04-23,PURCHASE_ORDER,6,sup003,2023-04-20,3
txn00773,ing003,2023-05-04,PURCHASE_ORDER,6,sup003,2023-04-25,9
txn00857,ing003,2023-05-12,PURCHASE_ORDER,6,sup003,2023-05-06,6
txn00939,ing003,2023-05-20,PURCHASE_ORDER,6,sup003,2023-05-14,6
txn00988,ing003,2023-05-25,PURCHASE_ORDER,6,sup003,2023-05-22,3
txn01047,ing003,2023-05-31,PURCHASE_ORDER,6,sup003,2023-05-27,4
txn01161,ing003,2023-06-10,PURCHASE_ORDER,6,sup003,2023-06-02,8
txn01226,ing003,2023-06-16,PURCHASE_ORDER,6,sup003,2023-06-12,4
txn01303,ing003,2023-06-23,PURCHASE_ORDER,6,sup003,2023-06-18,5
txn01363,ing003,2023-06-29,PURCHASE_ORDER,6,sup003,2023-06-25,4
txn01428,ing003,2023-07-05,PURCHASE_ORDER,6,sup003,2023-07-01,4
txn01492,ing003,2023-07-11,PURCHASE_ORDER,7,sup003,2023-07-07,4
txn01557,ing003,2023-07-16,PURCHASE_ORDER,6,sup003,2023-07-13,3
txn01607,ing003,2023-07-21,PURCHASE_ORDER,6,sup003,2023-07-18,3
txn01653,ing003,2023-07-25,PURCHASE_ORDER,7,sup003,2023-07-23,2
txn01731,ing003,2023-08-01,PURCHASE_ORDER,6,sup003,2023-07-27,5
txn01795,ing003,2023-08-07,PURCHASE_ORDER,6,sup003,2023-08-03,4
txn01856,ing003,2023-08-13,PURCHASE_ORDER,6,sup003,2023-08-09,4
txn01922,ing003,2023-08-20,PURCHASE_ORDER,6,sup003,2023-08-15,5
txn02008,ing003,2023-08-28,PURCHASE_ORDER,6,sup003,2023-08-22,6
txn02062,ing003,2023-09-02,PURCHASE_ORDER,6,sup003,2023-08-30,3
txn02130,ing003,2023-09-08,PURCHASE_ORDER,6,sup003,2023-09-04,4
txn02217,ing003,2023-09-16,PURCHASE_ORDER,6,sup003,2023-09-10,6
txn02307,ing003,2023-09-25,PURCHASE_ORDER,6,sup003,2023-09-18,7
txn02359,ing003,2023-09-30,PURCHASE_ORDER,6,sup003,2023-09-27,3
txn02424,ing003,2023-10-05,PURCHASE_ORDER,7,sup003,2023-10-02,3
txn02488,ing003,2023-10-11,PURCHASE_ORDER,6,sup003,2023-10-07,4
txn02558,ing003,2023-10-18,PURCHASE_ORDER,6,sup003,2023-10-13,5
txn02638,ing003,2023-10-25,PURCHASE_ORDER,6,sup003,2023-10-20,5
txn02724,ing003,2023-11-02,PURCHASE_ORDER,6,sup003,2023-10-27,6
txn02794,ing003,2023-11-10,PURCHASE_ORDER,6,sup003,2023-11-04,6
txn02854,ing003,2023-11-16,PURCHASE_ORDER,6,sup003,2023-11-12,4
txn02946,ing003,2023-11-25,PURCHASE_ORDER,6,sup003,2023-11-18,7
txn03038,ing003,2023-12-03,PURCHASE_ORDER,6,sup003,2023-11-27,6
