year-month,beautify_month,ing_id,ing_name,max_monthly,min_monthly,monthly_drawn
2025-09,"September 2025",ing006,"Spicy Chicken",11,6,5
2025-09,"September 2025",ing007,Jalapenos,21,11,10
2025-09,"September 2025",ing008,"Smoked Gouda",13,6,7
2025-09,"September 2025",ing009,"Chipotle Sauce",20,13,7
2025-09,"September 2025",ing010,"Wild Mushrooms",16,5,11
2025-09,"September 2025",ing011,"Truffle Oil",7,2,5
2025-09,"September 2025",ing012,Mozzarella,21,12,9
2025-09,"September 2025",ing013,"Fresh Spinach",16,9,7
2025-09,"September 2025",ing014,"Italian Sausage",13,5,8
2025-09,"September 2025",ing015,"Roasted Garlic",19,11,8
2025-09,"September 2025",ing016,"Red Onion",22,13,9
2025-09,"September 2025",ing017,"Fresh Basil",10,6,4
2025-09,"September 2025",ing018,"Smoked Salmon",7,-10,17
2025-09,"September 2025",ing019,"Dill Cream Cheese",14,6,8
2025-09,"September 2025",ing020,Capers,9,8,1
2025-09,"September 2025",ing021,Arugula,16,15,1
2025-09,"September 2025",ing022,"BBQ Brisket",10,4,6
2025-09,"September 2025",ing023,"Cheddar Cheese",15,8,7
2025-09,"September 2025",ing024,"BBQ Sauce",17,10,7
2025-09,"September 2025",ing025,"Tandoori Chicken",11,5,6
2025-09,"September 2025",ing026,"Mint Yogurt",14,8,6
2025-09,"September 2025",ing027,"Green Chilli",9,5,4
2025-09,"September 2025",ing028,"Grilled Pineapple",12,6,6
2025-09,"September 2025",ing029,"Pulled Pork",9,2,7
2025-09,"September 2025",ing030,"Truffle Fries",24,12,12
2025-09,"September 2025",ing031,Parmesan,9,7,2
2025-09,"September 2025",ing032,"Cauliflower Florets",21,12,9
2025-09,"September 2025",ing033,"Buffalo Sauce",13,11,2
2025-09,"September 2025",ing034,Ranch,13,13,0
2025-09,"September 2025",ing035,"Garlic Knots",30,17,13
2025-09,"September 2025",ing036,Kale,19,16,3
2025-09,"September 2025",ing037,Spinach,17,10,7
2025-09,"September 2025",ing038,Avocado,10,10,0
2025-09,"September 2025",ing039,"Mixed Seeds",15,15,0
2025-09,"September 2025",ing040,"Caramel Filling",16,9,7
2025-09,"September 2025",ing041,"Chocolate Syrup",17,17,0
2025-09,"September 2025",ing042,"Espresso Panna Base",12,7,5
2025-09,"September 2025",ing043,"Vanilla Syrup",10,10,0
2025-09,"September 2025",ing044,"Berry Mix",21,12,9
2025-09,"September 2025",ing045,"Oat Crumble",17,12,5
2025-09,"September 2025",ing046,"Mango Sticky Rice Mix",19,12,7
2025-09,"September 2025",ing047,"Cold Brew Coffee",69,25,44
2025-09,"September 2025",ing048,"Cold Brew Coffee 1.5L",45,16,29
2025-09,"September 2025",ing049,"Ginger Fizz 33cl",73,27,46
2025-09,"September 2025",ing050,"Ginger Fizz 1.5L",50,24,26
2025-09,"September 2025",ing051,"Lime Mint Sparkle 33cl",77,36,41
2025-09,"September 2025",ing052,"Lime Mint Sparkle 1.5L",53,17,36
2025-09,"September 2025",ing053,"Berry Kombucha 33cl",70,26,44
2025-09,"September 2025",ing054,"Berry Kombucha 1.5L",47,11,36
2025-10,"October 2025",ing001,"Flatbread Dough (8-pack)",25,-3,28
2025-10,"October 2025",ing002,"Roasted Red Peppers",20,17,3
2025-10,"October 2025",ing003,"Goat Cheese",14,8,6
2025-10,"October 2025",ing004,"Black Olives",25,19,6
2025-10,"October 2025",ing005,"Sun-Dried Tomatoes",18,11,7
2025-10,"October 2025",ing006,"Spicy Chicken",11,6,5
2025-10,"October 2025",ing007,Jalapenos,20,10,10
2025-10,"October 2025",ing008,"Smoked Gouda",14,6,8
2025-10,"October 2025",ing009,"Chipotle Sauce",18,11,7
2025-10,"October 2025",ing010,"Wild Mushrooms",14,2,12
2025-10,"October 2025",ing011,"Truffle Oil",6,2,4
2025-10,"October 2025",ing012,Mozzarella,22,12,10
2025-10,"October 2025",ing013,"Fresh Spinach",15,9,6
2025-10,"October 2025",ing014,"Italian Sausage",12,6,6
2025-10,"October 2025",ing015,"Roasted Garlic",18,10,8
2025-10,"October 2025",ing016,"Red Onion",22,12,10
2025-10,"October 2025",ing017,"Fresh Basil",10,9,1
2025-10,"October 2025",ing018,"Smoked Salmon",3,-10,13
2025-10,"October 2025",ing019,"Dill Cream Cheese",14,5,9
2025-10,"October 2025",ing020,Capers,11,7,4
2025-10,"October 2025",ing021,Arugula,15,11,4
2025-10,"October 2025",ing022,"BBQ Brisket",10,5,5
2025-10,"October 2025",ing023,"Cheddar Cheese",13,7,6
2025-10,"October 2025",ing024,"BBQ Sauce",17,10,7
2025-10,"October 2025",ing025,"Tandoori Chicken",11,6,5
2025-10,"October 2025",ing026,"Mint Yogurt",14,8,6
2025-10,"October 2025",ing027,"Green Chilli",9,5,4
2025-10,"October 2025",ing028,"Grilled Pineapple",12,6,6
2025-10,"October 2025",ing029,"Pulled Pork",7,1,6
2025-10,"October 2025",ing030,"Truffle Fries",23,13,10
2025-10,"October 2025",ing031,Parmesan,7,7,0
2025-10,"October 2025",ing032,"Cauliflower Florets",21,12,9
2025-10,"October 2025",ing033,"Buffalo Sauce",11,10,1
2025-10,"October 2025",ing034,Ranch,13,13,0
2025-10,"October 2025",ing035,"Garlic Knots",30,18,12
2025-10,"October 2025",ing036,Kale,16,14,2
2025-10,"October 2025",ing037,Spinach,19,10,9
2025-10,"October 2025",ing038,Avocado,15,9,6
2025-10,"October 2025",ing039,"Mixed Seeds",15,15,0
2025-10,"October 2025",ing040,"Caramel Filling",16,9,7
2025-10,"October 2025",ing041,"Chocolate Syrup",16,16,0
2025-10,"October 2025",ing042,"Espresso Panna Base",12,7,5
2025-10,"October 2025",ing043,"Vanilla Syrup",10,10,0
2025-10,"October 2025",ing044,"Berry Mix",21,12,9
2025-10,"October 2025",ing045,"Oat Crumble",18,11,7
2025-10,"October 2025",ing046,"Mango Sticky Rice Mix",20,10,10
2025-10,"October 2025",ing047,"Cold Brew Coffee",67,25,42
2025-10,"October 2025",ing048,"Cold Brew Coffee 1.5L",45,17,28
2025-10,"October 2025",ing049,"Ginger Fizz 33cl",80,27,53
2025-10,"October 2025",ing050,"Ginger Fizz 1.5L",48,7,41
2025-10,"October 2025",ing051,"Lime Mint Sparkle 33cl",76,34,42
2025-10,"October 2025",ing052,"Lime Mint Sparkle 1.5L",46,17,29
2025-10,"October 2025",ing053,"Berry Kombucha 33cl",65,33,32
2025-10,"October 2025",ing054,"Berry Kombucha 1.5L",46,-3,49
