latitude,longitude,postal_fsa,delivery_city,fulfilment_type,total_orders
43.590876,-79.643621,L5B,Mississauga,"In-Store Pickup",6
43.590876,-79.643621,L5B,Mississauga,"Home Delivery",11
43.591065,-79.638987,L5B,Mississauga,"In-Store Pickup",8
43.591065,-79.638987,L5B,Mississauga,"Home Delivery",18
43.591163,-79.642559,L5B,Mississauga,"In-Store Pickup",9
43.591163,-79.642559,L5B,Mississauga,"Home Delivery",11
43.591195,-79.640161,L5B,Mississauga,"In-Store Pickup",13
43.591195,-79.640161,L5B,Mississauga,"Home Delivery",9
43.591224,-79.638612,L5B,Mississauga,"In-Store Pickup",8
43.591224,-79.638612,L5B,Mississauga,"Home Delivery",12
43.591714,-79.646208,L5B,Mississauga,"In-Store Pickup",13
43.591714,-79.646208,L5B,Mississauga,"Home Delivery",7
43.591806,-79.645429,L5B,Mississauga,"In-Store Pickup",8
43.591806,-79.645429,L5B,Mississauga,"Home Delivery",15
43.591845,-79.645956,L5B,Mississauga,"In-Store Pickup",13
43.591845,-79.645956,L5B,Mississauga,"Home Delivery",4
43.591894,-79.640921,L5B,Mississauga,"In-Store Pickup",12
43.591894,-79.640921,L5B,Mississauga,"Home Delivery",7
43.591938,-79.645800,L5B,Mississauga,"In-Store Pickup",12
43.591938,-79.645800,L5B,Mississauga,"Home Delivery",13
43.592141,-79.637944,L5B,Mississauga,"In-Store Pickup",7
43.592141,-79.637944,L5B,Mississauga,"Home Delivery",14
43.592309,-79.645684,L5B,Mississauga,"In-Store Pickup",17
43.592309,-79.645684,L5B,Mississauga,"Home Delivery",8
43.592579,-79.645064,L5B,Mississauga,"In-Store Pickup",7
43.592579,-79.645064,L5B,Mississauga,"Home Delivery",13
43.592600,-79.641383,L5B,Mississauga,"In-Store Pickup",8
43.592600,-79.641383,L5B,Mississauga,"Home Delivery",12
43.592613,-79.642274,L5B,Mississauga,"In-Store Pickup",11
43.592613,-79.642274,L5B,Mississauga,"Home Delivery",10
43.592807,-79.638554,L5B,Mississauga,"In-Store Pickup",5
43.592807,-79.638554,L5B,Mississauga,"Home Delivery",16
43.592839,-79.644159,L5B,Mississauga,"In-Store Pickup",13
43.592839,-79.644159,L5B,Mississauga,"Home Delivery",13
43.593002,-79.642528,L5B,Mississauga,"In-Store Pickup",13
43.593002,-79.642528,L5B,Mississauga,"Home Delivery",9
43.593208,-79.641013,L5B,Mississauga,"In-Store Pickup",8
43.593208,-79.641013,L5B,Mississauga,"Home Delivery",14
43.593261,-79.644425,L5B,Mississauga,"In-Store Pickup",8
43.593261,-79.644425,L5B,Mississauga,"Home Delivery",9
43.593438,-79.645618,L5B,Mississauga,"In-Store Pickup",11
43.593438,-79.645618,L5B,Mississauga,"Home Delivery",8
43.593524,-79.644455,L5B,Mississauga,"In-Store Pickup",21
43.593524,-79.644455,L5B,Mississauga,"Home Delivery",9
43.593789,-79.640564,L5B,Mississauga,"In-Store Pickup",20
43.593789,-79.640564,L5B,Mississauga,"Home Delivery",2
43.594219,-79.642365,L5B,Mississauga,"In-Store Pickup",8
43.594219,-79.642365,L5B,Mississauga,"Home Delivery",9
43.594254,-79.645904,L5B,Mississauga,"In-Store Pickup",17
43.594254,-79.645904,L5B,Mississauga,"Home Delivery",11
43.594266,-79.645122,L5B,Mississauga,"In-Store Pickup",10
43.594266,-79.645122,L5B,Mississauga,"Home Delivery",6
43.594298,-79.641312,L5B,Mississauga,"In-Store Pickup",15
43.594298,-79.641312,L5B,Mississauga,"Home Delivery",13
43.594480,-79.639684,L5B,Mississauga,"In-Store Pickup",9
43.594480,-79.639684,L5B,Mississauga,"Home Delivery",11
43.594617,-79.639971,L5B,Mississauga,"In-Store Pickup",17
43.594617,-79.639971,L5B,Mississauga,"Home Delivery",16
43.594625,-79.642293,L5B,Mississauga,"In-Store Pickup",16
43.594625,-79.642293,L5B,Mississauga,"Home Delivery",16
43.594637,-79.642955,L5B,Mississauga,"In-Store Pickup",6
43.594637,-79.642955,L5B,Mississauga,"Home Delivery",13
43.594693,-79.640930,L5B,Mississauga,"In-Store Pickup",14
43.594693,-79.640930,L5B,Mississauga,"Home Delivery",14
43.594852,-79.638766,L5B,Mississauga,"In-Store Pickup",15
43.594852,-79.638766,L5B,Mississauga,"Home Delivery",12
43.594884,-79.643813,L5B,Mississauga,"In-Store Pickup",10
43.594884,-79.643813,L5B,Mississauga,"Home Delivery",17
43.594963,-79.644626,L5B,Mississauga,"In-Store Pickup",13
43.594963,-79.644626,L5B,Mississauga,"Home Delivery",11
43.595252,-79.640993,L5B,Mississauga,"In-Store Pickup",12
43.595252,-79.640993,L5B,Mississauga,"Home Delivery",14
43.595312,-79.646761,L5B,Mississauga,"In-Store Pickup",11
43.595312,-79.646761,L5B,Mississauga,"Home Delivery",13
43.595853,-79.637611,L5B,Mississauga,"In-Store Pickup",17
43.595853,-79.637611,L5B,Mississauga,"Home Delivery",14
43.595922,-79.637768,L5B,Mississauga,"In-Store Pickup",5
43.595922,-79.637768,L5B,Mississauga,"Home Delivery",10
43.595939,-79.639606,L5B,Mississauga,"In-Store Pickup",10
43.595939,-79.639606,L5B,Mississauga,"Home Delivery",11
43.595947,-79.640581,L5B,Mississauga,"In-Store Pickup",6
43.595947,-79.640581,L5B,Mississauga,"Home Delivery",12
43.595980,-79.641529,L5B,Mississauga,"In-Store Pickup",11
43.595980,-79.641529,L5B,Mississauga,"Home Delivery",14
43.596062,-79.645256,L5B,Mississauga,"In-Store Pickup",10
43.596062,-79.645256,L5B,Mississauga,"Home Delivery",15
43.596182,-79.637986,L5B,Mississauga,"In-Store Pickup",15
43.596182,-79.637986,L5B,Mississauga,"Home Delivery",9
43.596225,-79.641453,L5B,Mississauga,"In-Store Pickup",12
43.596225,-79.641453,L5B,Mississauga,"Home Delivery",13
43.596309,-79.646354,L5B,Mississauga,"In-Store Pickup",11
43.596309,-79.646354,L5B,Mississauga,"Home Delivery",10
43.596396,-79.643931,L5B,Mississauga,"In-Store Pickup",7
43.596396,-79.643931,L5B,Mississauga,"Home Delivery",16
43.596418,-79.645650,L5B,Mississauga,"In-Store Pickup",13
43.596418,-79.645650,L5B,Mississauga,"Home Delivery",12
43.596422,-79.639532,L5B,Mississauga,"In-Store Pickup",4
43.596422,-79.639532,L5B,Mississauga,"Home Delivery",10
43.596532,-79.637553,L5B,Mississauga,"In-Store Pickup",10
43.596532,-79.637553,L5B,Mississauga,"Home Delivery",7
43.596546,-79.638647,L5B,Mississauga,"In-Store Pickup",8
43.596546,-79.638647,L5B,Mississauga,"Home Delivery",9
43.596678,-79.645927,L5B,Mississauga,"In-Store Pickup",17
43.596678,-79.645927,L5B,Mississauga,"Home Delivery",15
43.596908,-79.643797,L5B,Mississauga,"In-Store Pickup",18
43.596908,-79.643797,L5B,Mississauga,"Home Delivery",6
43.597046,-79.639861,L5B,Mississauga,"In-Store Pickup",13
43.597046,-79.639861,L5B,Mississauga,"Home Delivery",9
43.597065,-79.641984,L5B,Mississauga,"In-Store Pickup",8
43.597065,-79.641984,L5B,Mississauga,"Home Delivery",5
43.597264,-79.644851,L5B,Mississauga,"In-Store Pickup",10
43.597264,-79.644851,L5B,Mississauga,"Home Delivery",8
43.597379,-79.645004,L5B,Mississauga,"In-Store Pickup",17
43.597379,-79.645004,L5B,Mississauga,"Home Delivery",15
43.597397,-79.640186,L5B,Mississauga,"In-Store Pickup",8
43.597397,-79.640186,L5B,Mississauga,"Home Delivery",11
43.597585,-79.639887,L5B,Mississauga,"In-Store Pickup",16
43.597585,-79.639887,L5B,Mississauga,"Home Delivery",10
43.597607,-79.638682,L5B,Mississauga,"In-Store Pickup",10
43.597607,-79.638682,L5B,Mississauga,"Home Delivery",11
43.597647,-79.638448,L5B,Mississauga,"In-Store Pickup",5
43.597647,-79.638448,L5B,Mississauga,"Home Delivery",12
43.597648,-79.641546,L5B,Mississauga,"In-Store Pickup",10
43.597648,-79.641546,L5B,Mississauga,"Home Delivery",9
43.597675,-79.644776,L5B,Mississauga,"In-Store Pickup",12
43.597675,-79.644776,L5B,Mississauga,"Home Delivery",10
43.597810,-79.644264,L5B,Mississauga,"In-Store Pickup",9
43.597810,-79.644264,L5B,Mississauga,"Home Delivery",10
43.597967,-79.643292,L5B,Mississauga,"In-Store Pickup",9
43.597967,-79.643292,L5B,Mississauga,"Home Delivery",6
43.617711,-79.516229,M8Z,Etobicoke,"In-Store Pickup",9
43.617711,-79.516229,M8Z,Etobicoke,"Home Delivery",12
43.617800,-79.520012,M8Z,Etobicoke,"In-Store Pickup",13
43.617800,-79.520012,M8Z,Etobicoke,"Home Delivery",14
43.617902,-79.510480,M8Z,Etobicoke,"In-Store Pickup",10
43.617902,-79.510480,M8Z,Etobicoke,"Home Delivery",7
43.617970,-79.510913,M8Z,Etobicoke,"In-Store Pickup",9
43.617970,-79.510913,M8Z,Etobicoke,"Home Delivery",17
43.618022,-79.510467,M8Z,Etobicoke,"In-Store Pickup",15
43.618022,-79.510467,M8Z,Etobicoke,"Home Delivery",10
43.618078,-79.519219,M8Z,Etobicoke,"In-Store Pickup",16
43.618078,-79.519219,M8Z,Etobicoke,"Home Delivery",6
43.618143,-79.514192,M8Z,Etobicoke,"In-Store Pickup",17
43.618143,-79.514192,M8Z,Etobicoke,"Home Delivery",9
43.618340,-79.514883,M8Z,Etobicoke,"In-Store Pickup",17
43.618340,-79.514883,M8Z,Etobicoke,"Home Delivery",20
43.618399,-79.518917,M8Z,Etobicoke,"In-Store Pickup",13
43.618399,-79.518917,M8Z,Etobicoke,"Home Delivery",12
43.618662,-79.516761,M8Z,Etobicoke,"In-Store Pickup",13
43.618662,-79.516761,M8Z,Etobicoke,"Home Delivery",7
43.618786,-79.519101,M8Z,Etobicoke,"In-Store Pickup",10
43.618786,-79.519101,M8Z,Etobicoke,"Home Delivery",10
43.618827,-79.513877,M8Z,Etobicoke,"In-Store Pickup",11
43.618827,-79.513877,M8Z,Etobicoke,"Home Delivery",15
43.618867,-79.518284,M8Z,Etobicoke,"In-Store Pickup",11
43.618867,-79.518284,M8Z,Etobicoke,"Home Delivery",7
43.619009,-79.514002,M8Z,Etobicoke,"In-Store Pickup",9
43.619009,-79.514002,M8Z,Etobicoke,"Home Delivery",12
43.619035,-79.512161,M8Z,Etobicoke,"In-Store Pickup",8
43.619035,-79.512161,M8Z,Etobicoke,"Home Delivery",17
43.619072,-79.513892,M8Z,Etobicoke,"In-Store Pickup",3
43.619072,-79.513892,M8Z,Etobicoke,"Home Delivery",12
43.619146,-79.517262,M8Z,Etobicoke,"In-Store Pickup",8
43.619146,-79.517262,M8Z,Etobicoke,"Home Delivery",14
43.619231,-79.513741,M8Z,Etobicoke,"In-Store Pickup",8
43.619231,-79.513741,M8Z,Etobicoke,"Home Delivery",7
43.619323,-79.519602,M8Z,Etobicoke,"In-Store Pickup",7
43.619323,-79.519602,M8Z,Etobicoke,"Home Delivery",15
43.619395,-79.516875,M8Z,Etobicoke,"In-Store Pickup",13
43.619395,-79.516875,M8Z,Etobicoke,"Home Delivery",11
43.619550,-79.511154,M8Z,Etobicoke,"In-Store Pickup",5
43.619550,-79.511154,M8Z,Etobicoke,"Home Delivery",13
43.619607,-79.513662,M8Z,Etobicoke,"In-Store Pickup",10
43.619607,-79.513662,M8Z,Etobicoke,"Home Delivery",16
43.619611,-79.520049,M8Z,Etobicoke,"In-Store Pickup",10
43.619611,-79.520049,M8Z,Etobicoke,"Home Delivery",10
43.619873,-79.514223,M8Z,Etobicoke,"In-Store Pickup",7
43.619873,-79.514223,M8Z,Etobicoke,"Home Delivery",12
43.619983,-79.514058,M8Z,Etobicoke,"In-Store Pickup",11
43.619983,-79.514058,M8Z,Etobicoke,"Home Delivery",18
43.620136,-79.519488,M8Z,Etobicoke,"In-Store Pickup",11
43.620136,-79.519488,M8Z,Etobicoke,"Home Delivery",10
43.620218,-79.513448,M8Z,Etobicoke,"In-Store Pickup",11
43.620218,-79.513448,M8Z,Etobicoke,"Home Delivery",17
43.620494,-79.512387,M8Z,Etobicoke,"In-Store Pickup",11
43.620494,-79.512387,M8Z,Etobicoke,"Home Delivery",12
43.620511,-79.510485,M8Z,Etobicoke,"In-Store Pickup",14
43.620511,-79.510485,M8Z,Etobicoke,"Home Delivery",10
43.620822,-79.510808,M8Z,Etobicoke,"In-Store Pickup",14
43.620822,-79.510808,M8Z,Etobicoke,"Home Delivery",11
43.621324,-79.519509,M8Z,Etobicoke,"In-Store Pickup",12
43.621324,-79.519509,M8Z,Etobicoke,"Home Delivery",8
43.621416,-79.514986,M8Z,Etobicoke,"In-Store Pickup",17
43.621416,-79.514986,M8Z,Etobicoke,"Home Delivery",18
43.621440,-79.513346,M8Z,Etobicoke,"In-Store Pickup",4
43.621440,-79.513346,M8Z,Etobicoke,"Home Delivery",13
43.621535,-79.510484,M8Z,Etobicoke,"In-Store Pickup",10
43.621535,-79.510484,M8Z,Etobicoke,"Home Delivery",12
43.621632,-79.511951,M8Z,Etobicoke,"In-Store Pickup",12
43.621632,-79.511951,M8Z,Etobicoke,"Home Delivery",15
43.621667,-79.516162,M8Z,Etobicoke,"In-Store Pickup",15
43.621667,-79.516162,M8Z,Etobicoke,"Home Delivery",15
43.622007,-79.516645,M8Z,Etobicoke,"In-Store Pickup",9
43.622007,-79.516645,M8Z,Etobicoke,"Home Delivery",10
43.622030,-79.519925,M8Z,Etobicoke,"In-Store Pickup",13
43.622030,-79.519925,M8Z,Etobicoke,"Home Delivery",10
43.622033,-79.510701,M8Z,Etobicoke,"In-Store Pickup",12
43.622033,-79.510701,M8Z,Etobicoke,"Home Delivery",17
43.622410,-79.518674,M8Z,Etobicoke,"In-Store Pickup",8
43.622410,-79.518674,M8Z,Etobicoke,"Home Delivery",10
43.622419,-79.513071,M8Z,Etobicoke,"In-Store Pickup",20
43.622419,-79.513071,M8Z,Etobicoke,"Home Delivery",12
43.622544,-79.513236,M8Z,Etobicoke,"In-Store Pickup",14
43.622544,-79.513236,M8Z,Etobicoke,"Home Delivery",17
43.622621,-79.515059,M8Z,Etobicoke,"In-Store Pickup",13
43.622621,-79.515059,M8Z,Etobicoke,"Home Delivery",9
43.622643,-79.514915,M8Z,Etobicoke,"In-Store Pickup",9
43.622643,-79.514915,M8Z,Etobicoke,"Home Delivery",12
43.622791,-79.517800,M8Z,Etobicoke,"In-Store Pickup",12
43.622791,-79.517800,M8Z,Etobicoke,"Home Delivery",8
43.622929,-79.516118,M8Z,Etobicoke,"In-Store Pickup",11
43.622929,-79.516118,M8Z,Etobicoke,"Home Delivery",9
43.623284,-79.513369,M8Z,Etobicoke,"In-Store Pickup",14
43.623284,-79.513369,M8Z,Etobicoke,"Home Delivery",13
43.623313,-79.510459,M8Z,Etobicoke,"In-Store Pickup",7
43.623313,-79.510459,M8Z,Etobicoke,"Home Delivery",7
43.623373,-79.517903,M8Z,Etobicoke,"In-Store Pickup",14
43.623373,-79.517903,M8Z,Etobicoke,"Home Delivery",13
43.623421,-79.516347,M8Z,Etobicoke,"In-Store Pickup",14
43.623421,-79.516347,M8Z,Etobicoke,"Home Delivery",10
43.623539,-79.513376,M8Z,Etobicoke,"In-Store Pickup",17
43.623539,-79.513376,M8Z,Etobicoke,"Home Delivery",6
43.623702,-79.510959,M8Z,Etobicoke,"In-Store Pickup",9
43.623702,-79.510959,M8Z,Etobicoke,"Home Delivery",17
43.623706,-79.518948,M8Z,Etobicoke,"In-Store Pickup",14
43.623706,-79.518948,M8Z,Etobicoke,"Home Delivery",9
43.623713,-79.513383,M8Z,Etobicoke,"In-Store Pickup",9
43.623713,-79.513383,M8Z,Etobicoke,"Home Delivery",16
43.623915,-79.517286,M8Z,Etobicoke,"In-Store Pickup",8
43.623915,-79.517286,M8Z,Etobicoke,"Home Delivery",9
43.623954,-79.516170,M8Z,Etobicoke,"In-Store Pickup",8
43.623954,-79.516170,M8Z,Etobicoke,"Home Delivery",14
43.624080,-79.510967,M8Z,Etobicoke,"In-Store Pickup",21
43.624080,-79.510967,M8Z,Etobicoke,"Home Delivery",21
43.624107,-79.517248,M8Z,Etobicoke,"In-Store Pickup",20
43.624107,-79.517248,M8Z,Etobicoke,"Home Delivery",7
43.624173,-79.512876,M8Z,Etobicoke,"In-Store Pickup",6
43.624173,-79.512876,M8Z,Etobicoke,"Home Delivery",9
43.624263,-79.510501,M8Z,Etobicoke,"In-Store Pickup",10
43.624263,-79.510501,M8Z,Etobicoke,"Home Delivery",9
43.624292,-79.512487,M8Z,Etobicoke,"In-Store Pickup",12
43.624292,-79.512487,M8Z,Etobicoke,"Home Delivery",12
43.624348,-79.512226,M8Z,Etobicoke,"In-Store Pickup",10
43.624348,-79.512226,M8Z,Etobicoke,"Home Delivery",7
43.624394,-79.514862,M8Z,Etobicoke,"In-Store Pickup",8
43.624394,-79.514862,M8Z,Etobicoke,"Home Delivery",10
43.624411,-79.514879,M8Z,Etobicoke,"In-Store Pickup",15
43.624411,-79.514879,M8Z,Etobicoke,"Home Delivery",10
43.624550,-79.520175,M8Z,Etobicoke,"In-Store Pickup",15
43.624550,-79.520175,M8Z,Etobicoke,"Home Delivery",7
43.624593,-79.518382,M8Z,Etobicoke,"In-Store Pickup",12
43.624593,-79.518382,M8Z,Etobicoke,"Home Delivery",9
43.624611,-79.511282,M8Z,Etobicoke,"In-Store Pickup",15
43.624611,-79.511282,M8Z,Etobicoke,"Home Delivery",16
43.624664,-79.516762,M8Z,Etobicoke,"In-Store Pickup",12
43.624664,-79.516762,M8Z,Etobicoke,"Home Delivery",4
43.624672,-79.517508,M8Z,Etobicoke,"In-Store Pickup",10
43.624672,-79.517508,M8Z,Etobicoke,"Home Delivery",9
43.624730,-79.513748,M8Z,Etobicoke,"In-Store Pickup",13
43.624730,-79.513748,M8Z,Etobicoke,"Home Delivery",8
43.625193,-79.516635,M8Z,Etobicoke,"In-Store Pickup",11
43.625193,-79.516635,M8Z,Etobicoke,"Home Delivery",9
43.625261,-79.514485,M8Z,Etobicoke,"In-Store Pickup",11
43.625261,-79.514485,M8Z,Etobicoke,"Home Delivery",13
43.625303,-79.517789,M8Z,Etobicoke,"In-Store Pickup",14
43.625303,-79.517789,M8Z,Etobicoke,"Home Delivery",10
43.625361,-79.511373,M8Z,Etobicoke,"In-Store Pickup",10
43.625361,-79.511373,M8Z,Etobicoke,"Home Delivery",8
43.625407,-79.511379,M8Z,Etobicoke,"In-Store Pickup",12
43.625407,-79.511379,M8Z,Etobicoke,"Home Delivery",7
43.625765,-79.518049,M8Z,Etobicoke,"In-Store Pickup",11
43.625765,-79.518049,M8Z,Etobicoke,"Home Delivery",12
43.625802,-79.518096,M8Z,Etobicoke,"In-Store Pickup",12
43.625802,-79.518096,M8Z,Etobicoke,"Home Delivery",11
43.625874,-79.514030,M8Z,Etobicoke,"In-Store Pickup",9
43.625874,-79.514030,M8Z,Etobicoke,"Home Delivery",10
43.626043,-79.493071,M8Y,Etobicoke,"In-Store Pickup",12
43.626043,-79.493071,M8Y,Etobicoke,"Home Delivery",11
43.626106,-79.517111,M8Z,Etobicoke,"In-Store Pickup",10
43.626106,-79.517111,M8Z,Etobicoke,"Home Delivery",12
43.626140,-79.495023,M8Y,Etobicoke,"In-Store Pickup",10
43.626140,-79.495023,M8Y,Etobicoke,"Home Delivery",11
43.626147,-79.511373,M8Z,Etobicoke,"In-Store Pickup",13
43.626147,-79.511373,M8Z,Etobicoke,"Home Delivery",8
43.626180,-79.494706,M8Y,Etobicoke,"In-Store Pickup",13
43.626180,-79.494706,M8Y,Etobicoke,"Home Delivery",10
43.626308,-79.516882,M8Z,Etobicoke,"In-Store Pickup",17
43.626308,-79.516882,M8Z,Etobicoke,"Home Delivery",13
43.626325,-79.493906,M8Y,Etobicoke,"In-Store Pickup",7
43.626325,-79.493906,M8Y,Etobicoke,"Home Delivery",12
43.626359,-79.511989,M8Z,Etobicoke,"In-Store Pickup",11
43.626359,-79.511989,M8Z,Etobicoke,"Home Delivery",7
43.626378,-79.493299,M8Y,Etobicoke,"In-Store Pickup",14
43.626378,-79.493299,M8Y,Etobicoke,"Home Delivery",12
43.626433,-79.514978,M8Z,Etobicoke,"In-Store Pickup",9
43.626433,-79.514978,M8Z,Etobicoke,"Home Delivery",15
43.626485,-79.501165,M8Y,Etobicoke,"In-Store Pickup",10
43.626485,-79.501165,M8Y,Etobicoke,"Home Delivery",20
43.626527,-79.494439,M8Y,Etobicoke,"In-Store Pickup",18
43.626527,-79.494439,M8Y,Etobicoke,"Home Delivery",10
43.626528,-79.515570,M8Z,Etobicoke,"In-Store Pickup",12
43.626528,-79.515570,M8Z,Etobicoke,"Home Delivery",14
43.626535,-79.514034,M8Z,Etobicoke,"In-Store Pickup",10
43.626535,-79.514034,M8Z,Etobicoke,"Home Delivery",9
43.626540,-79.519675,M8Z,Etobicoke,"In-Store Pickup",11
43.626540,-79.519675,M8Z,Etobicoke,"Home Delivery",20
43.626571,-79.514206,M8Z,Etobicoke,"In-Store Pickup",12
43.626571,-79.514206,M8Z,Etobicoke,"Home Delivery",9
43.626638,-79.518748,M8Z,Etobicoke,"In-Store Pickup",13
43.626638,-79.518748,M8Z,Etobicoke,"Home Delivery",12
43.626695,-79.515417,M8Z,Etobicoke,"In-Store Pickup",17
43.626695,-79.515417,M8Z,Etobicoke,"Home Delivery",9
43.626713,-79.501598,M8Y,Etobicoke,"In-Store Pickup",16
43.626713,-79.501598,M8Y,Etobicoke,"Home Delivery",13
43.626761,-79.495247,M8Y,Etobicoke,"In-Store Pickup",9
43.626761,-79.495247,M8Y,Etobicoke,"Home Delivery",7
43.626860,-79.502846,M8Y,Etobicoke,"In-Store Pickup",16
43.626860,-79.502846,M8Y,Etobicoke,"Home Delivery",7
43.626891,-79.518041,M8Z,Etobicoke,"In-Store Pickup",7
43.626891,-79.518041,M8Z,Etobicoke,"Home Delivery",9
43.626914,-79.494657,M8Y,Etobicoke,"In-Store Pickup",7
43.626914,-79.494657,M8Y,Etobicoke,"Home Delivery",17
43.627053,-79.502205,M8Y,Etobicoke,"In-Store Pickup",16
43.627053,-79.502205,M8Y,Etobicoke,"Home Delivery",11
43.627070,-79.512835,M8Z,Etobicoke,"In-Store Pickup",12
43.627070,-79.512835,M8Z,Etobicoke,"Home Delivery",11
43.627157,-79.498557,M8Y,Etobicoke,"In-Store Pickup",7
43.627157,-79.498557,M8Y,Etobicoke,"Home Delivery",10
43.627194,-79.510717,M8Z,Etobicoke,"In-Store Pickup",6
43.627194,-79.510717,M8Z,Etobicoke,"Home Delivery",12
43.627356,-79.496896,M8Y,Etobicoke,"In-Store Pickup",8
43.627356,-79.496896,M8Y,Etobicoke,"Home Delivery",7
43.627631,-79.494050,M8Y,Etobicoke,"In-Store Pickup",18
43.627631,-79.494050,M8Y,Etobicoke,"Home Delivery",13
43.627679,-79.495414,M8Y,Etobicoke,"In-Store Pickup",17
43.627679,-79.495414,M8Y,Etobicoke,"Home Delivery",8
43.627689,-79.497602,M8Y,Etobicoke,"In-Store Pickup",8
43.627689,-79.497602,M8Y,Etobicoke,"Home Delivery",12
43.627748,-79.502332,M8Y,Etobicoke,"In-Store Pickup",15
43.627748,-79.502332,M8Y,Etobicoke,"Home Delivery",14
43.627814,-79.498531,M8Y,Etobicoke,"In-Store Pickup",12
43.627814,-79.498531,M8Y,Etobicoke,"Home Delivery",13
43.627869,-79.502565,M8Y,Etobicoke,"In-Store Pickup",9
43.627869,-79.502565,M8Y,Etobicoke,"Home Delivery",12
43.627894,-79.494350,M8Y,Etobicoke,"In-Store Pickup",11
43.627894,-79.494350,M8Y,Etobicoke,"Home Delivery",9
43.627921,-79.499173,M8Y,Etobicoke,"In-Store Pickup",15
43.627921,-79.499173,M8Y,Etobicoke,"Home Delivery",16
43.628126,-79.495587,M8Y,Etobicoke,"In-Store Pickup",9
43.628126,-79.495587,M8Y,Etobicoke,"Home Delivery",12
43.628151,-79.498966,M8Y,Etobicoke,"In-Store Pickup",8
43.628151,-79.498966,M8Y,Etobicoke,"Home Delivery",5
43.628166,-79.502191,M8Y,Etobicoke,"In-Store Pickup",11
43.628166,-79.502191,M8Y,Etobicoke,"Home Delivery",13
43.628213,-79.502875,M8Y,Etobicoke,"In-Store Pickup",6
43.628213,-79.502875,M8Y,Etobicoke,"Home Delivery",9
43.628365,-79.500993,M8Y,Etobicoke,"In-Store Pickup",5
43.628365,-79.500993,M8Y,Etobicoke,"Home Delivery",8
